duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,db_amps,station_code,network_code
0.92,1330570037.08,2012-03-01T02:47:17.080000Z,967.6189979139892,1935.2379958279785,1330570036.88,2012-03-01T02:47:16.880000Z,1330570036.16,2012-03-01T02:47:16.160000Z,18.985655392959323,13.702943729095926,33.771873622195386,,,,,,1000,-130.7272451641948,B19,XF
1.36,1330641506.68,2012-03-01T22:38:26.680000Z,642.5210743886256,1285.0421487772512,1330641506.08,2012-03-01T22:38:26.080000Z,1330641505.32,2012-03-01T22:38:25.320000Z,12.15088666530004,3.4153284627646556,4.7968459627577325,,,,,,1000,-142.94231259689494,B19,XF
1.44,1330642526.32,2012-03-01T22:55:26.320000Z,1490.1653902316964,2980.330780463393,1330642525.72,2012-03-01T22:55:25.720000Z,1330642524.88,2012-03-01T22:55:24.880000Z,13.682587905146224,3.91210473141475,3.603995336755792,,,,,,1000,-139.87891011720257,B19,XF
1.36,1330643380.2,2012-03-01T23:09:40.200000Z,1475.601831499737,2951.203662999474,1330643379.6,2012-03-01T23:09:39.600000Z,1330643378.84,2012-03-01T23:09:38.840000Z,13.65161573207622,2.706199312677411,8.724356292596646,,,,,,1000,-139.9408544633426,B19,XF
1.36,1330644386.6,2012-03-01T23:26:26.600000Z,1625.8202532220619,3251.6405064441237,1330644386.04,2012-03-01T23:26:26.040000Z,1330644385.24,2012-03-01T23:26:25.240000Z,13.831850819860998,3.5617628129124967,5.783519967766988,,,,,,1000,-139.58038428777303,B19,XF
1.52,1330645761.48,2012-03-01T23:49:21.480000Z,1809.7258262394291,3619.4516524788583,1330645760.84,2012-03-01T23:49:20.840000Z,1330645759.96,2012-03-01T23:49:19.960000Z,14.19334767622541,3.285195441114329,4.213162429960066,,,,,,1000,-138.8573905750442,B19,XF
1.4,1330647336.36,2012-03-02T00:15:36.360000Z,1918.6657112708233,3837.3314225416466,1330647335.8,2012-03-02T00:15:35.800000Z,1330647334.96,2012-03-02T00:15:34.960000Z,14.173132820554224,3.401236427794616,3.3014833011534095,,,,,,1000,-138.71852625246004,B19,XF
1.28,1330657740.68,2012-03-02T03:09:00.680000Z,702.4270088831755,1404.854017766351,1330657740.32,2012-03-02T03:09:00.320000Z,1330657739.4,2012-03-02T03:08:59.400000Z,16.176173083196737,11.34425445222754,31.731079139679675,,,,,,1000,-134.712445727175,B19,XF
1.64,1330721094.88,2012-03-02T20:44:54.880000Z,762.3236188045976,1524.6472376091951,1330721093.64,2012-03-02T20:44:53.640000Z,1330721093.24,2012-03-02T20:44:53.240000Z,15.670737389421747,9.99761986864865,26.150095251517534,,,,,,1000,-136.81825759554266,B19,XF
2.52,1330804031.8,2012-03-03T19:47:11.800000Z,608.2262498087651,1216.4524996175303,1330804030.88,2012-03-03T19:47:10.880000Z,1330804029.28,2012-03-03T19:47:09.280000Z,15.013673749289593,10.704094316209048,8.892254581154319,,,,,,1000,-136.5011623557991,B19,XF
2.0,1330837388.84,2012-03-04T05:03:08.840000Z,7902.157814782786,15804.315629565572,1330837388.0,2012-03-04T05:03:08.000000Z,1330837386.84,2012-03-04T05:03:06.840000Z,19.885447422518755,15.576892546987507,32.49754947345106,,,,,,1000,-129.91777067696142,B19,XF
0.96,1330837409.88,2012-03-04T05:03:29.880000Z,2152.363077256609,4304.726154513218,1330837409.28,2012-03-04T05:03:29.280000Z,1330837408.92,2012-03-04T05:03:28.920000Z,20.568868462206098,15.52047070682528,35.24037026053938,,,,,,1000,-128.55092859758673,B19,XF
0.72,1330837427.76,2012-03-04T05:03:47.760000Z,602.5404035376777,1205.0808070753553,1330837427.48,2012-03-04T05:03:47.480000Z,1330837427.04,2012-03-04T05:03:47.040000Z,18.415451793131094,13.943670918605244,29.237037130320914,,,,,,1000,-132.85776193573673,B19,XF
1.24,1330854866.24,2012-03-04T09:54:26.240000Z,1503.8321972764525,3007.664394552905,1330854865.48,2012-03-04T09:54:25.480000Z,1330854865.0,2012-03-04T09:54:25.000000Z,18.051053228890673,12.10156044065739,18.853459277881328,,,,,,1000,-133.58655906421757,B19,XF
2.24,1330964798.04,2012-03-05T16:26:38.040000Z,12595.763845297754,25191.527690595507,1330964796.04,2012-03-05T16:26:36.040000Z,1330964795.8,2012-03-05T16:26:35.800000Z,26.884286413076417,0.581603811028649,37.75267313060909,,,,,,1000,-110.97295838978665,B19,XF
1.52,1331066792.52,2012-03-06T20:46:32.520000Z,581.7304178717274,1163.4608357434547,1331066791.88,2012-03-06T20:46:31.880000Z,1331066791.0,2012-03-06T20:46:31.000000Z,11.120289339868856,0.09482231749371359,3.075607432806691,,,,,,1000,-144.23137543232005,B19,XF
2.12,1331097411.48,2012-03-07T05:16:51.480000Z,764.8499610420575,1529.699922084115,1331097410.8,2012-03-07T05:16:50.800000Z,1331097409.36,2012-03-07T05:16:49.360000Z,17.290632980060007,12.593278960926309,29.345724575660668,,,,,,1000,-131.9659170611342,B19,XF
1.08,1331147746.52,2012-03-07T19:15:46.520000Z,725.7195959150259,1451.4391918300519,1331147745.84,2012-03-07T19:15:45.840000Z,1331147745.44,2012-03-07T19:15:45.440000Z,16.024459126503395,9.99544441953317,26.542851637247097,,,,,,1000,-134.68724526896366,B19,XF
1.32,1331153503.6,2012-03-07T20:51:43.600000Z,544.8595035930701,1089.7190071861403,1331153503.0,2012-03-07T20:51:43.000000Z,1331153502.28,2012-03-07T20:51:42.280000Z,11.615490034501397,1.722216584512932,8.815302209408031,,,,,,1000,-143.50518345296766,B19,XF
1.32,1331153893.44,2012-03-07T20:58:13.440000Z,1000.5746855576732,2001.1493711153464,1331153892.88,2012-03-07T20:58:12.880000Z,1331153892.12,2012-03-07T20:58:12.120000Z,12.946861060742664,1.4701407464902858,5.331397010621227,,,,,,1000,-140.84244140048514,B19,XF
1.36,1331154342.56,2012-03-07T21:05:42.560000Z,1529.717529078814,3059.435058157628,1331154341.96,2012-03-07T21:05:41.960000Z,1331154341.2,2012-03-07T21:05:41.200000Z,13.474768202066835,1.8065186049780366,15.82963902628819,,,,,,1000,-139.7866271178368,B19,XF
1.36,1331155348.68,2012-03-07T21:22:28.680000Z,1174.3951940843422,2348.7903881686843,1331155348.12,2012-03-07T21:22:28.120000Z,1331155347.32,2012-03-07T21:22:27.320000Z,13.139635883869714,1.7309450988083273,7.640636466945492,,,,,,1000,-140.45689175423104,B19,XF
1.4,1331156188.56,2012-03-07T21:36:28.560000Z,1810.093955841879,3620.187911683758,1331156187.96,2012-03-07T21:36:27.960000Z,1331156187.16,2012-03-07T21:36:27.160000Z,14.18627937994298,1.2152375094268357,4.359482080612384,,,,,,1000,-138.3636047620845,B19,XF
1.4,1331156738.64,2012-03-07T21:45:38.640000Z,1419.6013397427275,2839.202679485455,1331156738.04,2012-03-07T21:45:38.040000Z,1331156737.24,2012-03-07T21:45:37.240000Z,13.583095162621726,0.9692856067502924,3.1185634276201775,,,,,,1000,-139.569973196727,B19,XF
1.32,1331157566.08,2012-03-07T21:59:26.080000Z,1646.0329894204733,3292.0659788409466,1331157565.56,2012-03-07T21:59:25.560000Z,1331157564.76,2012-03-07T21:59:24.760000Z,14.13940794524363,1.1239611686128446,4.355201545070225,,,,,,1000,-138.4573476314832,B19,XF
1.36,1331157780.96,2012-03-07T22:03:00.960000Z,501.07879175389905,1002.1575835077981,1331157780.4,2012-03-07T22:03:00.400000Z,1331157779.6,2012-03-07T22:02:59.600000Z,11.524301820668704,0.13145561636363756,3.8291929324794967,,,,,,1000,-143.68755988063305,B19,XF
1.28,1331158007.28,2012-03-07T22:06:47.280000Z,3035.768004422571,6071.536008845142,1331158006.72,2012-03-07T22:06:46.720000Z,1331158006.0,2012-03-07T22:06:46.000000Z,15.410938570677184,1.06616761193975,7.001351924508862,,,,,,1000,-135.9142863806161,B19,XF
1.4,1331158206.44,2012-03-07T22:10:06.440000Z,799.6793530466448,1599.3587060932896,1331158205.88,2012-03-07T22:10:05.880000Z,1331158205.04,2012-03-07T22:10:05.040000Z,12.38363985776738,0.8909830873880824,4.497899034458793,,,,,,1000,-141.96888380643568,B19,XF
1.52,1331158376.84,2012-03-07T22:12:56.840000Z,2385.4510982481793,4770.902196496359,1331158376.2,2012-03-07T22:12:56.200000Z,1331158375.32,2012-03-07T22:12:55.320000Z,14.69573797266416,0.35690407186832535,4.052074912688457,,,,,,1000,-137.34468757664214,B19,XF
1.36,1331158543.6,2012-03-07T22:15:43.600000Z,905.2540041287432,1810.5080082574864,1331158543.04,2012-03-07T22:15:43.040000Z,1331158542.24,2012-03-07T22:15:42.240000Z,12.723287325492617,0.969838316828549,4.579364457557703,,,,,,1000,-141.28958887098523,B19,XF
1.24,1331158692.48,2012-03-07T22:18:12.480000Z,5551.060568396613,11102.121136793226,1331158691.96,2012-03-07T22:18:11.960000Z,1331158691.24,2012-03-07T22:18:11.240000Z,16.8959586969739,1.0104561799380862,4.786605153997305,,,,,,1000,-132.94424612802266,B19,XF
1.36,1331158911.88,2012-03-07T22:21:51.880000Z,693.2883216505272,1386.5766433010544,1331158911.32,2012-03-07T22:21:51.320000Z,1331158910.52,2012-03-07T22:21:50.520000Z,12.17852849110859,0.7838601132407055,4.16351335406485,,,,,,1000,-142.37910653975325,B19,XF
1.32,1331159182.08,2012-03-07T22:26:22.080000Z,10510.637696091797,21021.275392183594,1331159181.52,2012-03-07T22:26:21.520000Z,1331159180.76,2012-03-07T22:26:20.760000Z,17.93858891095914,0.7953640154487118,4.14457717987913,,,,,,1000,-130.85898570005216,B19,XF
1.52,1331159628.4,2012-03-07T22:33:48.400000Z,7199.841057585936,14399.682115171872,1331159627.76,2012-03-07T22:33:47.760000Z,1331159626.88,2012-03-07T22:33:46.880000Z,16.820400845532994,1.1508862703646285,6.114010316269206,,,,,,1000,-133.09536183090447,B19,XF
1.32,1331159875.4,2012-03-07T22:37:55.400000Z,618.3355926468555,1236.671185293711,1331159874.84,2012-03-07T22:37:54.840000Z,1331159874.08,2012-03-07T22:37:54.080000Z,12.255693776172837,1.3831123422507074,4.98629059584235,,,,,,1000,-142.22477596962477,B19,XF
1.28,1331160160.4,2012-03-07T22:42:40.400000Z,12514.755491912849,25029.510983825698,1331160159.88,2012-03-07T22:42:39.880000Z,1331160159.12,2012-03-07T22:42:39.120000Z,18.459479276671928,0.3617935556119055,3.4802015780224567,,,,,,1000,-129.8172049686266,B19,XF
1.4,1331160338.0,2012-03-07T22:45:38.000000Z,925.4980241373149,1850.9960482746299,1331160337.4,2012-03-07T22:45:37.400000Z,1331160336.6,2012-03-07T22:45:36.600000Z,12.638074870204354,1.1849133170178496,5.3725475268161365,,,,,,1000,-141.46001378156174,B19,XF
1.36,1331160519.44,2012-03-07T22:48:39.440000Z,1599.984276488724,3199.968552977448,1331160518.88,2012-03-07T22:48:38.880000Z,1331160518.08,2012-03-07T22:48:38.080000Z,13.763121795893177,0.44963536412064403,3.388806416337382,,,,,,1000,-139.2099199301841,B19,XF
1.36,1331160696.16,2012-03-07T22:51:36.160000Z,1038.0789692458225,2076.157938491645,1331160695.56,2012-03-07T22:51:35.560000Z,1331160694.8,2012-03-07T22:51:34.800000Z,12.733746814758947,1.211835261307813,3.6423847451962494,,,,,,1000,-141.26866989245255,B19,XF
1.52,1331160827.36,2012-03-07T22:53:47.360000Z,3733.4344448776037,7466.868889755207,1331160826.72,2012-03-07T22:53:46.720000Z,1331160825.84,2012-03-07T22:53:45.840000Z,15.52356039239146,1.1611952383747284,10.670586835200528,,,,,,1000,-135.68904273718752,B19,XF
1.32,1331161039.04,2012-03-07T22:57:19.040000Z,2960.054414223859,5920.108828447718,1331161038.52,2012-03-07T22:57:18.520000Z,1331161037.72,2012-03-07T22:57:17.720000Z,15.432367221608425,1.1172471043880177,3.310427193465964,,,,,,1000,-135.8714290787536,B19,XF
1.36,1331161114.08,2012-03-07T22:58:34.080000Z,2703.9346863694445,5407.869372738889,1331161113.48,2012-03-07T22:58:33.480000Z,1331161112.72,2012-03-07T22:58:32.720000Z,14.773502174182715,0.967861443275228,5.080033162496532,,,,,,1000,-137.18915917360502,B19,XF
1.4,1331161286.96,2012-03-07T23:01:26.960000Z,5563.59865512206,11127.19731024412,1331161286.36,2012-03-07T23:01:26.360000Z,1331161285.56,2012-03-07T23:01:25.560000Z,16.341391727282463,-0.5265850007844904,2.78777741448567,,,,,,1000,-134.05338006740553,B19,XF
1.24,1331161411.08,2012-03-07T23:03:31.080000Z,841.3315898121884,1682.6631796243769,1331161410.56,2012-03-07T23:03:30.560000Z,1331161409.84,2012-03-07T23:03:29.840000Z,12.942635243676248,0.5272003110810872,3.2607179708858696,,,,,,1000,-140.85089303461797,B19,XF
1.6,1331161566.32,2012-03-07T23:06:06.320000Z,2919.7147288230954,5839.429457646191,1331161565.6,2012-03-07T23:06:05.600000Z,1331161564.72,2012-03-07T23:06:04.720000Z,15.3750861100485,0.49523479101914547,3.9224893467632196,,,,,,1000,-135.98599130187347,B19,XF
