time,range_D_MP1,range_MP1_MP2,range_MP2_MP3,auto_max,auto_snr,auto_amp,auto_count,n_calls
2012-03-04 05:03:01.843987+00:00,21.27,40.0,40.0,4304.726154513218,19.885447422518755,-129.91777067696142,3,2
2012-03-04 05:04:01.843987+00:00,21.27,40.0,40.0,4304.726154513218,19.885447422518755,-129.91777067696142,3,1
2012-03-07 20:58:01.846206+00:00,9.29,19.93,30.28,2001.1493711153464,12.946861060742664,-140.84244140048514,3,1
2012-03-07 21:59:01.846206+00:00,5.11,11.27,17.2,3292.0659788409466,14.13940794524363,-138.4573476314832,3,1
2012-03-07 22:03:01.846206+00:00,6.16,13.48,20.56,3292.0659788409466,14.13940794524363,-138.4573476314832,5,1
2012-03-07 22:07:01.846206+00:00,5.19,11.44,17.46,2551.2869935492163,13.431347635368123,-139.8734682512342,6,1
2012-03-07 22:10:01.846206+00:00,4.43,9.82,14.99,3290.7051023769227,13.709512649078388,-139.31713822381369,6,1
2012-03-07 22:13:01.846206+00:00,4.81,10.63,16.22,3290.7051023769227,13.709512649078388,-139.31713822381369,6,1
2012-03-07 22:16:01.846206+00:00,4.81,10.63,16.22,3290.7051023769227,13.709512649078388,-139.31713822381369,6,1
2012-03-07 22:18:01.846206+00:00,3.12,6.97,10.67,3290.7051023769227,13.709512649078388,-139.31713822381369,6,1
2012-03-07 22:22:01.846206+00:00,3.01,6.75,10.32,4770.902196496359,14.69573797266416,-137.34468757664214,5,1
2012-03-07 22:26:01.846206+00:00,2.53,5.67,8.68,12750.90162598255,16.858179771253447,-133.01980397946355,4,1
2012-03-07 22:34:01.846206+00:00,2.15,4.83,7.4,17710.478753677733,17.379494878246067,-131.9771737654783,4,1
2012-03-07 22:38:01.846206+00:00,2.15,4.83,7.4,8125.339081723251,14.729237857868675,-137.2776878062331,4,1
2012-03-07 22:43:01.846206+00:00,2.04,4.59,7.02,2638.0632457345464,13.24843430532606,-140.23929491131832,6,1
2012-03-07 22:46:01.846206+00:00,2.46,5.51,8.44,2638.0632457345464,13.24843430532606,-140.23929491131832,6,1
2012-03-07 22:49:01.846206+00:00,2.36,5.3,8.1,5407.869372738889,14.773502174182717,-137.18915917360502,7,1
2012-03-07 22:52:01.846206+00:00,2.31,5.18,7.93,5663.989100593304,15.10293469789557,-136.5302941261793,8,1
2012-03-07 22:54:01.846206+00:00,2.8,6.28,9.6,4303.918962858168,14.268311985037949,-138.19953955189456,8,1
2012-03-07 22:57:01.846206+00:00,2.5,5.62,8.6,5623.64941519254,15.074294142115608,-136.58757523773926,8,1
2012-03-07 22:59:01.846206+00:00,2.71,6.08,9.3,5839.429457646191,15.3750861100485,-135.98599130187347,7,1
2012-03-07 23:01:01.846206+00:00,2.64,5.93,9.07,5623.64941519254,15.074294142115608,-136.58757523773926,8,1
2012-03-07 23:03:01.846206+00:00,2.62,5.88,9.0,5839.429457646191,15.3750861100485,-135.98599130187347,7,1
