interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
0,3.901224,11.98671,40.34879,-144.3793
10,3.901232,11.9396,20.10043,-16.99807
20,3.901249,11.92399,19.98156,28.03762
30,3.901277,11.92339,19.95454,27.98391
40,3.901316,11.92402,12.07722,20.09694
50,3.901367,11.92342,19.94616,27.99294
60,3.901428,11.92344,19.94557,27.97671
70,3.901501,11.92408,12.07836,20.10048
80,3.901586,11.92349,19.9462,27.98395
90,3.90168,11.92353,19.94623,27.97124
100,3.901787,11.92356,19.94564,27.96837
110,3.901905,11.9236,19.94566,27.96778
120,3.902034,11.92364,19.94629,20.0995
130,3.902173,11.92369,19.94632,20.09952
140,3.902325,11.92374,19.94574,27.96843
150,3.902488,11.92379,19.94577,27.96786
160,3.902661,11.92385,19.94581,27.9685
170,3.902846,11.92391,19.94645,20.10074
180,3.903042,11.92397,19.94649,27.96792
190,3.903249,11.92404,19.94592,27.96857
200,3.903468,11.92411,19.94597,27.9686
210,3.903697,11.92418,19.94601,27.96804
220,3.903938,11.92426,19.94667,20.10095
230,3.90419,11.92435,19.94611,27.96869
240,3.904453,11.92443,19.94616,27.96874
250,3.904728,11.92452,19.94621,27.96817
260,3.905013,11.92462,19.94627,27.96882
270,3.90531,11.92471,19.94633,27.96886
280,3.905618,11.92481,19.94639,27.96829
290,3.905937,11.92492,19.94645,27.96834
300,3.906267,11.92503,19.94651,27.96899
310,3.906609,11.92514,19.94658,27.96904
320,3.906961,11.92525,19.94665,27.96848
330,3.907325,11.92537,19.94672,27.96853
340,3.9077,11.92549,19.94679,27.96919
350,3.908086,11.92562,19.94687,27.96864
360,3.908483,11.92575,19.94695,27.96869
370,3.908891,11.92588,19.94703,27.96936
380,3.909311,11.92602,19.94711,27.96881
390,3.909741,11.92616,19.94719,27.96887
400,3.910183,11.92631,19.94728,27.96893
410,3.910636,11.92646,19.94737,27.9696
420,3.9111,11.92661,19.94746,27.96906
430,3.911575,11.92676,19.94755,27.96912
440,3.912061,11.92692,19.94765,27.96919
450,3.912559,11.92709,19.94774,27.96926
460,3.913067,11.92725,19.94785,27.96933
470,3.913587,11.92742,19.94795,27.9694
480,3.914117,11.9276,19.94805,27.97009
490,3.914659,11.92777,19.94816,27.96955
500,3.915212,11.92796,19.94827,27.96963
510,3.915776,11.92814,19.94838,27.96971
520,3.916351,11.92833,19.94849,27.96979
530,3.916938,11.92852,19.9486,27.96987
540,3.917535,11.92872,19.94872,27.96996
550,3.918143,11.92892,19.94884,27.97004
560,3.918762,11.92912,19.94896,27.97013
570,3.919393,11.92933,19.94909,27.97022
580,3.920033,11.92954,19.94921,27.97031
590,3.920686,11.92975,19.94934,27.9704
600,3.92135,11.92997,19.94947,27.97049
610,3.922024,11.93019,19.9496,27.97058
620,3.92271,11.93042,19.94974,27.97068
630,3.923407,11.93065,19.94987,27.97078
640,3.924114,11.93088,19.95001,27.97088
650,3.924833,11.93111,19.95015,27.97098
660,3.925562,11.93135,19.9503,27.97108
670,3.926303,11.9316,19.95044,27.97118
