duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,max_amp
1.15,,2020-03-01T08:02:05.150000Z,126.142777146,630.71388573,1583049724.45,2020-03-01T08:02:04.450000Z,,2020-03-01T08:02:04.000000Z,,,21.1346990366,21.5665143166,21.5883236615,,,,350,-159.985386903
1.3,,2020-03-01T08:05:38.200000Z,101.57245869,507.86229345,1583049937.3,2020-03-01T08:05:37.300000Z,,2020-03-01T08:05:36.900000Z,,,21.3237830597,21.5527150734,21.5745701929,,,,350,-160.428893943
1.15,,2020-03-01T08:06:09.350000Z,121.175883807,605.879419036,1583049968.65,2020-03-01T08:06:08.650000Z,,2020-03-01T08:06:08.200000Z,,,21.4470223489,21.8699405827,21.9628476479,,,,350,-160.038102772
0.95,,2020-03-01T08:07:17.050000Z,82.5333737786,412.666868893,1583050036.65,2020-03-01T08:07:16.650000Z,,2020-03-01T08:07:16.100000Z,,,20.4730348203,20.8992189659,20.8853142012,,,,350,-160.663968443
0.95,,2020-03-01T08:18:59.400000Z,101.295530424,506.477652122,1583050738.85,2020-03-01T08:18:58.850000Z,,2020-03-01T08:18:58.450000Z,,,20.2886759454,21.1722312608,21.0858547486,,,,350,-160.712807252
1.15,,2020-03-01T08:19:42.150000Z,78.1433681869,390.716840934,1583050781.5,2020-03-01T08:19:41.500000Z,,2020-03-01T08:19:41.000000Z,,,20.5480027387,21.221398823,21.2654194013,,,,350,-161.147322861
1.1,,2020-03-01T08:20:23.450000Z,85.0467080648,425.233540324,1583050822.8,2020-03-01T08:20:22.800000Z,,2020-03-01T08:20:22.350000Z,,,20.0363276167,20.7249682634,20.7769634444,,,,350,-160.896462722
0.85,,2020-03-01T08:21:41.450000Z,127.985688519,639.928442597,1583050901.0,2020-03-01T08:21:41.000000Z,,2020-03-01T08:21:40.600000Z,,,20.0752559144,20.2870798089,20.412875027,,,,350,-160.70867912
0.85,,2020-03-01T08:22:22.950000Z,377.436426881,1887.1821344,1583050942.55,2020-03-01T08:22:22.550000Z,,2020-03-01T08:22:22.100000Z,,,20.1764032059,20.2164043219,20.3194902211,,,,350,-158.361919013
0.9,,2020-03-01T08:22:41.950000Z,313.215864094,1566.07932047,1583050961.5,2020-03-01T08:22:41.500000Z,,2020-03-01T08:22:41.050000Z,,,20.4176128351,20.4582155682,20.5247021042,,,,350,-158.605138745
0.6,,2020-03-01T08:23:00.150000Z,72.3546047113,361.773023556,1583050979.9,2020-03-01T08:22:59.900000Z,,2020-03-01T08:22:59.550000Z,,,17.6555432459,17.847626558,18.357276003,,,,350,-159.783693183
0.95,,2020-03-01T08:23:18.600000Z,155.503824594,777.519122972,1583050998.1,2020-03-01T08:23:18.100000Z,,2020-03-01T08:23:17.650000Z,,,20.3209301617,20.3633790017,20.3845530256,,,,350,-159.553606762
0.8,,2020-03-01T08:23:57.950000Z,199.751136181,998.755680906,1583051037.55,2020-03-01T08:23:57.550000Z,,2020-03-01T08:23:57.150000Z,,,19.9227727466,20.0527744448,20.1016503074,,,,350,-158.543486803
0.8,,2020-03-01T08:24:38.550000Z,87.1007719751,435.503859875,1583051078.15,2020-03-01T08:24:38.150000Z,,2020-03-01T08:24:37.750000Z,,,20.1043729869,20.3069800123,20.3058319267,,,,350,-160.871338033
0.9,,2020-03-01T08:27:34.100000Z,103.823880628,519.119403141,1583051253.65,2020-03-01T08:27:33.650000Z,,2020-03-01T08:27:33.200000Z,,,20.3806158041,20.9842030705,21.1503818415,,,,350,-160.32019591
1.15,,2020-03-01T08:28:15.600000Z,80.0413125961,400.206562981,1583051295.05,2020-03-01T08:28:15.050000Z,,2020-03-01T08:28:14.450000Z,,,19.0227387422,19.8442889643,19.866206445,,,,350,-159.676282745
1.15,,2020-03-01T08:46:43.750000Z,78.3214727068,391.607363534,1583052403.0,2020-03-01T08:46:43.000000Z,,2020-03-01T08:46:42.600000Z,,,20.749780378,21.0561033105,21.0603587331,,,,350,-160.765233168
0.35,,2020-03-01T09:36:41.050000Z,298.013351016,1490.06675508,1583055401.0,2020-03-01T09:36:41.000000Z,,2020-03-01T09:36:40.700000Z,,,19.5777268444,19.2734604313,21.0660279104,,,,350,-149.727669425
1.55,,2020-03-01T10:23:06.250000Z,151.730864287,758.654321437,1583058185.1,2020-03-01T10:23:05.100000Z,,2020-03-01T10:23:04.700000Z,,,21.1028604506,21.0776328105,21.1013466914,,,,350,-160.858923051
0.6,,2020-03-01T10:23:32.700000Z,105.50901745,527.545087248,1583058212.5,2020-03-01T10:23:32.500000Z,,2020-03-01T10:23:32.100000Z,,,17.3572531971,17.3658072842,18.0077789226,,,,350,-159.871643491
0.8,,2020-03-01T10:23:50.350000Z,192.685923642,963.429618209,1583058229.95,2020-03-01T10:23:49.950000Z,,2020-03-01T10:23:49.550000Z,,,20.8067664902,20.8652762992,20.9561019791,,,,350,-160.212714149
0.6,,2020-03-01T10:24:14.250000Z,191.198863749,955.994318745,1583058254.0,2020-03-01T10:24:14.000000Z,,2020-03-01T10:24:13.650000Z,,,17.99730477,18.1833722101,18.0113822743,,,,350,-158.730816371
1.4,,2020-03-01T10:24:35.200000Z,156.985658988,784.928294938,1583058274.2,2020-03-01T10:24:34.200000Z,,2020-03-01T10:24:33.800000Z,,,20.4295796336,20.3076969934,20.2275183874,,,,350,-159.721290353
0.55,,2020-03-01T10:24:55.250000Z,210.805987467,1054.02993734,1583058295.05,2020-03-01T10:24:55.050000Z,,2020-03-01T10:24:54.700000Z,,,17.4515824002,17.5352082465,17.5063437116,,,,350,-158.051886353
1.55,,2020-03-01T10:25:13.250000Z,236.627364116,1183.13682058,1583058312.15,2020-03-01T10:25:12.150000Z,,2020-03-01T10:25:11.700000Z,,,20.8422586361,21.0213693987,20.7751091196,,,,350,-160.627389637
0.6,,2020-03-01T10:25:36.800000Z,245.311577147,1226.55788574,1583058336.55,2020-03-01T10:25:36.550000Z,,2020-03-01T10:25:36.200000Z,,,18.0532665064,18.0998806802,17.9441260775,,,,350,-158.370932768
1.3,,2020-03-01T10:25:58.550000Z,152.210547979,761.052739894,1583058357.75,2020-03-01T10:25:57.750000Z,,2020-03-01T10:25:57.250000Z,,,20.426276901,20.2268035933,20.1214448304,,,,350,-160.533079845
0.6,,2020-03-01T10:26:18.300000Z,295.411100302,1477.05550151,1583058378.05,2020-03-01T10:26:18.050000Z,,2020-03-01T10:26:17.700000Z,,,17.8270221108,17.8335692845,17.9105480338,,,,350,-157.768140608
1.0,,2020-03-01T10:26:38.750000Z,180.592498137,902.962490687,1583058398.3,2020-03-01T10:26:38.300000Z,,2020-03-01T10:26:37.750000Z,,,20.9044120228,21.2806890571,21.2806890571,,,,350,-160.383541133
0.75,,2020-03-01T10:27:12.950000Z,193.980719337,969.903596684,1583058432.6,2020-03-01T10:27:12.600000Z,,2020-03-01T10:27:12.200000Z,,,20.6716230017,20.8255907706,21.0660684355,,,,350,-160.985115689
0.9,,2020-03-01T10:28:00.350000Z,257.224129303,1286.12064651,1583058479.95,2020-03-01T10:27:59.950000Z,,2020-03-01T10:27:59.450000Z,,,20.6982479645,20.7002140479,20.7308375263,,,,350,-159.213698575
0.55,,2020-03-01T10:28:20.650000Z,187.06891947,935.34459735,1583058500.45,2020-03-01T10:28:20.450000Z,,2020-03-01T10:28:20.100000Z,,,17.7492483769,17.8592223528,17.5578907387,,,,350,-158.939199997
0.8,,2020-03-01T10:28:40.850000Z,389.659109799,1948.295549,1583058520.5,2020-03-01T10:28:40.500000Z,,2020-03-01T10:28:40.050000Z,,,20.3665996689,20.3952000074,20.494421052,,,,350,-158.811916074
