time,frequency
1444096814.05,20.3105899974
1444096880.91,16.7685768294
1444096898.99,20.2653128852
1444096917.7,16.6672221611
1444096935.64,20.3666675535
1444096956.45,16.5081347379
1444096974.11,20.2539112094
1444096995.24,16.6006230459
1444097013.47,20.1460081834
1444097034.35,16.8308061473
1444097052.07,22.2801117818
1444097073.11,16.4589985134
1444097091.34,21.7107813424
1444097111.68,16.3485239532
1444097129.12,21.241972539
1444097149.54,16.4893426175
1444097167.47,20.7725769912
1444097187.53,17.9562037044
1444097262.35,16.3494113136
1444097280.66,19.9868791087
1444097302.18,17.2154750743
1444097320.33,19.5662195677
1444097339.73,17.3709388073
1444097358.12,21.3382294123
1444097377.07,16.7957554111
1444097394.6,22.6065825425
1448508618.22,18.0332798437
1448508636.12,21.1519278144
1448508657.77,18.0784776404
1448508675.52,21.1067300178
1448508720.81,17.921119318
1448508739.13,20.9213068033
1448508761.47,17.8712823165
1448508779.86,21.0807852078
1448508802.41,17.5099654917
1448508820.76,22.2476959167
1448508841.07,17.5293031669
1448508873.81,21.002271835
1448508889.97,17.4585395052
1448508910.3,21.1099840639
1448508929.45,16.7476387947
1448508947.59,20.3342952515
1448508968.82,16.8022987317
1448508986.92,20.6477860669
1448509030.05,17.1747671598
1448509048.49,20.3572156789
1448509068.36,19.7271335895
1448509086.5,20.6775964023
1448509108.74,17.503105727
1448509146.87,16.7394283209
1448509177.91,21.3888760578
1448509139.67,21.5939068022
1448508798.49,20.5413786143
1448508836.86,21.544135829
1448509325.76,17.0481392626
1448509344.02,19.9098625629
1448509364.39,16.9272213767
1448509382.07,20.1113923728
1448509402.49,17.0078333006
1448509440.07,16.8490510639
1448509457.94,22.2955922607
1448509479.24,16.9045148235
1448509497.19,22.2623140049
1448509517.89,16.8897833389
1448509535.87,21.2388999847
1448509558.76,16.8240536163
1448509576.09,21.0198009094
1448509618.92,18.025853097
1448509664.87,17.9548870443
1448509682.96,21.6214664343
1448509704.82,17.3516755963
1448509735.9,17.522677372
1448509753.27,21.5562132637
1448509775.72,17.474080554
1448509794.15,20.9609022435
1448509815.99,17.485295954
1448509833.48,21.6605783737
1448509848.96,21.4860488835
1448509855.89,17.3241918092
1448509873.39,20.3448945244
1448509895.55,17.418169227
1448510072.2,17.023333383
1448510090.48,20.8978167807
1448510112.09,20.1131112824
1448510130.54,20.2234604931
1448510152.39,17.3126079935
1448510169.98,20.2842428534
1448510191.41,17.346896088
1448510209.36,20.5128301503
1448510230.5,19.6577663375
1448510248.28,20.992412002
1448510269.24,19.1082063579
1448510287.34,20.1063867289
1448510312.49,19.2146007351
1448510330.33,22.4045103257
1448510351.54,18.9284626655
1448510369.28,21.4401190542
1448510390.16,18.1972209322
1479655221.55,16.9781375214
1479655238.55,22.4465580726
1479655257.11,16.7828367874
1479655273.82,22.2429874866
1479655293.81,16.6528273222
1479655310.73,22.400456787
1479655328.7,16.6865707437
1479655381.27,16.751450613
1479655399.77,20.2967963873
1479655418.56,17.2192392915
1479655436.51,20.7522748375
1479655455.34,16.7272083551
1479655472.92,20.4687787079
1479655492.06,16.9038936217
1479655510.4,20.4791719589
1479655528.69,16.9819729197
1479655546.58,20.4803411996
1479655565.45,16.7948944021
1479655582.77,20.293262682
1479655601.87,16.6166891224
1479655619.22,20.3457875741
1479655639.94,16.4158915135
1479655656.79,20.1832371288
1479655677.02,16.7553004464
1479655694.05,22.3212327879
1479655713.12,17.1270323897
1479655730.01,22.0700625559
1479655751.52,17.1554795838
1479655768.85,21.8486559963
1479655787.7,16.8249742026
1571122805.65,20.5552198881
1571122823.41,16.5649734913
1571122845.5,22.320938677
1571122865.15,16.7735229545
1571122886.86,21.5038796959
1571122906.16,17.4903446517
1571122929.19,20.9189926794
1571122950.41,16.713856716
1571123042.81,17.808572911
1571123063.13,20.4529201985
1571123080.87,16.2799839727
1571123103.52,20.1739806112
1571123121.11,16.7975666733
1571123142.3,22.2361772359
1571123163.25,17.2290431571
1571123182.14,22.8482717826
1571123204.45,16.4560996886
1571123224.4,21.7720517159
1571123242.93,16.6650235674
1571123261.09,22.596140349
1571123281.94,17.4088843078
1571123302.75,20.9927151019
1571123322.63,17.4565099662
1571123341.53,19.8363139444
1571123363.8,17.5961856884
1571123379.87,21.1594985101
1571123420.31,20.600244748
1571123441.55,18.8509544756
1571123460.86,20.2714307871
1571123483.31,16.3914260475
1571123503.48,20.8675170008
1571123524.58,16.7554374553
1571123544.85,21.3407742375
1571123568.95,16.9098462732
1571123588.44,21.2422050762
1571123611.72,18.1198816496
1571123631.7,20.5464927991
1571123653.55,16.3508266571
1571123672.66,20.6206586148
1571123774.45,17.0908032302
1571123791.8,20.4954108327
1571123811.76,16.9825294902
1571123832.08,20.242772106
1571123853.25,16.8534781656
1571123872.59,20.6354911255
1571123894.59,17.0974790017
1571123914.76,20.8905829087
1571123934.61,17.3520178686
1571123954.55,20.7907855881
1571123977.48,18.4075889724
1571123996.63,20.1052084795
1571124019.0,16.7869548007
1571124037.35,20.5826428215
