time,frequency
1444096881.23,16.7358096838
1444096898.63,20.2516838188
1444096917.52,16.7358096838
1444096935.45,20.4207162292
1444096956.53,16.6343902376
1444096974.02,20.3023935419
1444096995.45,16.6174869966
1444097013.9,20.1671676137
1444097034.54,16.7527129248
1444097051.94,22.2921458713
1444097073.01,16.4628243507
1444097091.22,21.7092137193
1444097111.68,16.3840497355
1444097129.35,21.1420364902
1444097149.57,16.3682948125
1444097167.48,20.7166535684
1444097187.7,18.0225617305
1444097262.45,16.4225858524
1444097280.54,19.911267817
1444097301.91,17.5279108313
1444097320.14,19.5831244639
1444097339.98,17.2861209921
1444097357.99,21.0338634987
1444097377.25,16.7507292055
1444097394.97,22.1046470721
1444097414.33,18.0273801246
1444097431.96,20.7593588003
1444097452.59,17.50199961
1444097470.39,20.5191848508
1444097491.41,17.4869887382
1444097508.94,21.7650872139
1444097606.42,17.5078371713
1444097624.15,21.2556986739
1444097644.8,16.9152265918
1444097662.07,20.727154103
1444097682.18,17.0113256047
1444097699.84,20.4388570644
1444097720.26,17.0753916133
1444097738.6,19.3657514205
1444097760.34,16.6676453166
1444097800.71,16.7616840138
1444097779.28,21.3852532901
1444097769.14,20.1784233434
1444097819.12,20.9150598043
1444097807.43,20.9620791529
1444097839.21,16.9497614081
1444097856.88,20.8993866882
1444097876.03,16.5109141547
1444097788.74,16.7370583351
1444097896.9,21.7682512702
1444097917.29,17.054837511
1444097943.27,16.5444678683
1444097960.84,21.0477294217
1444097980.69,16.7546200741
1444098063.7,17.1180974562
1444098082.1,20.8980579439
1444098103.87,17.3004639709
1444098121.65,20.2846433034
1444098143.33,16.4383677193
1444098160.84,20.9477942662
1444098182.08,16.5709979119
1444098199.77,21.0306881365
1444098228.76,16.8537067166
1444098255.72,16.5329370433
1444098273.74,21.1840973059
1444098294.03,16.737063199
1444098311.42,21.2424190647
1444098329.37,16.9411893547
1444098347.25,21.2132581853
1444098367.46,17.5595073157
1444098386.02,19.6795180499
1444098363.55,22.1046818442
1444098404.69,20.8680089159
1444098423.52,18.0252672498
1444098444.2,20.9483123528
1444098457.34,16.724351572
1444098464.88,16.9492011953
1444098475.43,20.9981689452
1444098482.29,21.4660752383
1444098496.58,16.2545672146
1444098514.12,21.3854017395
1444098535.84,17.2549186
1444098553.69,16.8192817063
1444098580.24,17.045167503
1444098592.95,17.0935716023
1444098611.35,20.7264162932
1444098617.89,17.6593935547
1444098631.31,17.0989223943
1444098651.8,20.9599459434
1444098671.03,17.1611969677
1444098690.72,20.5240239298
1444098710.14,16.7408435974
1444098728.03,22.0964569074
1444098747.72,16.9922113108
1444098765.94,20.9330604194
1444098797.55,17.2852112445
1444098834.69,18.1202610556
1444098812.48,20.8451604392
1444098852.42,20.5814604989
1444098874.22,18.427910986
1444098892.03,21.0155527738
1444098913.37,16.7056252834
1444098931.7,20.7065973982
1444098950.85,16.2730877575
1444098969.1,20.9537616987
1444098989.49,16.3503266014
1444099007.2,21.0310005426
1444099026.8,16.3219014377
1444099045.76,20.1512075022
1444099054.47,20.5863559186
1444099066.23,17.2067032177
1444099073.83,16.4669509098
1444099084.38,20.2672470799
1444099092.64,20.1947223438
1444099103.08,17.1921982705
1444099121.37,20.7023954963
1444099039.01,17.1989264507
1444099127.67,21.1860357644
1444099140.81,16.0728242972
1444099150.26,16.5053618231
1444099158.61,19.7493932675
1444099169.63,20.5217817067
1444099178.57,16.1037198348
1444099189.67,16.6134962046
1444099195.9,20.073796412
1448508617.94,18.0031510766
1448508635.82,21.1872000936
1448508657.66,18.036844717
1448508675.45,21.1872000936
1448508720.7,17.8947264276
1448508738.82,20.8888772815
1448508761.23,17.9312404624
1448508779.69,21.1444755251
1448508802.45,17.1644457315
1448508798.21,20.3411667595
1448508820.42,22.3676956911
1448508840.92,17.5295860795
1448508836.62,21.4913588558
1448508873.87,20.9888250085
1448508889.9,17.4633319929
1448508910.44,21.9331534948
1448508929.25,16.6449139715
1448508947.57,20.3157454366
1448508968.84,16.8572367883
1448508986.86,20.3486836142
1448509029.97,17.1701494755
1448509025.44,21.3600672925
1448509048.35,20.3028223013
1448509063.32,21.2609505745
1448509068.22,18.3370073958
1448509086.39,20.4514973782
1448509108.99,17.0484900628
1448509100.97,21.5202600291
1448509139.98,21.5935399196
1448509146.75,17.0648426844
1448509177.88,21.5935399196
1448509325.78,16.9516661962
1448509343.82,19.9320107464
1448509364.33,16.9202941483
1448509382.15,20.0261268901
1448509402.44,16.9673522201
1448509397.14,17.3595028189
1448509313.95,20.982974351
1448509355.76,21.6574733807
1448509439.89,17.0640319838
1448509457.48,22.310651016
1448509479.52,16.9298854744
1448509497.11,21.5206771276
1448509473.86,17.0640319838
1448509434.56,17.004411313
1448509518.21,16.8851699713
1448509512.66,16.9895061453
1448509535.69,21.1205241878
1448509558.58,17.1007681122
1448509575.98,21.1356360527
1448509619.21,15.9522663763
1448509664.53,18.565167825
1448509682.84,22.2912300877
1448509704.64,17.3231470708
1448509735.54,17.3803476614
1448509753.1,21.6438227505
1448509775.69,17.5642622731
1448509793.88,21.0920789154
1448509815.97,17.4784077419
1448509833.36,21.5959075935
1448509855.79,17.0424371693
1448509848.76,21.3698487782
1448509873.34,20.2718488177
1448509895.92,16.5580254221
1448509888.58,21.1760840793
1448510072.11,17.1122259188
1448510090.27,20.2722973471
1448510112.24,17.2250856127
1448510130.16,20.4496482946
1448510151.77,20.1755604666
1448510169.92,20.2722973471
1448510191.11,17.2380565979
1448510208.96,20.899802094
1448510231.21,16.5630804696
1448510248.26,20.9335509004
1448510269.5,16.8668197273
1448510287.06,22.0641359153
1448510312.47,19.2935334714
1448510330.24,22.5054888406
1448510351.11,18.9589547871
1448510369.26,21.5352106561
1448510390.13,18.172694879
1448510408.2,21.5066178074
1448510428.31,18.0304923605
1448510477.36,18.1822882315
1448510495.09,21.1119485427
1448510515.29,18.0524068468
1448510533.14,21.7279162895
1448510523.75,21.133124305
1448510554.15,17.2135976379
1448510571.95,21.6516609068
1448510592.15,17.1830954849
1448510610.44,21.133124305
1448510631.38,17.1264728845
1448510649.54,21.1078617307
1448510670.65,17.5348204585
1448510688.57,21.3557870435
1448510709.07,17.7244104036
1448510769.47,21.3241499959
1448510750.09,17.2420087254
1448510858.96,18.822687488
1448510877.35,20.1256477216
1448510917.26,17.3693730867
1448510935.34,21.2114528808
1448510957.17,17.4696012553
1448510975.19,21.7794125025
1448510900.97,20.8606542909
1451622020.94,16.9709546686
1451622050.86,16.5495774943
1451622069.19,20.4774147258
1451622031.95,16.865610375
1451622090.01,16.6850201575
1451622108.76,20.6730541282
1451622128.79,16.9135457292
1451622146.6,20.8782411281
1451622168.22,16.8424938403
1451622186.7,20.8356099947
1451622207.79,16.8993353514
1451622237.94,17.0399311269
1451622256.27,21.9481857416
1451622278.47,17.0115597129
1451622295.96,21.6077287741
1451622317.53,17.2101596106
1451622346.75,18.1149548402
1451622364.79,22.5319152483
1451622387.14,17.3273150471
1451622404.73,21.7288315378
1451622425.54,18.3620575204
1451622443.43,21.7798229867
1451622463.82,17.781451953
1451622481.68,22.4237554003
1451622504.44,17.9761291943
1451622581.31,17.1508664393
1451622621.86,16.9031817463
1451622640.27,21.4880086427
1451622660.68,17.1324230911
1451622678.4,21.7478155001
1451622699.56,17.1935541164
1451622717.62,19.4401192956
1451622739.61,17.5686656339
1451622757.79,19.7188337429
1451622778.08,16.5849285906
1451622796.88,19.9577413106
1451622817.34,17.8778401333
1451622835.06,19.6249556759
1451622856.25,16.669646646
1451622873.89,20.4819952946
1451622895.33,18.4576086091
1451622913.62,19.20942862
1451622936.3,17.0452071246
1451622954.42,20.0807385726
1451622985.9,17.4949154873
1451623149.12,20.5987854435
1451623327.56,16.3909826881
1451623346.28,20.1299359934
1451623377.94,16.6208363749
1451623397.05,20.6202905252
1451623418.96,17.3410445935
1451623437.29,20.5632566708
1451623459.75,17.2750813741
1451623477.93,20.2527851835
1451623499.95,17.1198456304
1451623529.56,17.0575548588
1451623548.25,19.7453219038
1451623569.8,17.010401051
1451623601.31,16.9160934354
1451623619.46,19.9810909428
1451623641.22,17.0523894887
1451623659.74,20.593741861
1451623681.36,17.1142471721
1451623699.28,20.593741861
1451623720.06,17.1535737013
1451623751.21,16.9710428324
1451623770.07,19.9675912639
1451623835.83,16.875221016
1451623868.22,16.8897970437
1451623886.5,20.5338039895
1451623910.79,16.8606449882
1451623942.21,16.8200947112
1451623960.1,20.4990743411
1451623989.75,16.4897373567
1451624008.32,20.0936357697
1451624022.82,20.1637599755
1451624030.32,16.1840886315
1451624048.11,21.8090657961
1451624067.2,19.5168876015
1451624103.94,16.099713974
1479654628.88,21.3603962776
1479654665.86,21.2586301104
1479654684.35,16.8972229425
1479654700.67,21.8110750183
1479654718.6,16.432006178
1479654735.22,22.1599875917
1479654754.94,16.4393705111
1479654771.23,22.0282690364
1479654790.94,16.4952594964
1479654807.66,21.3296567207
1479654829.1,16.4673150038
1479654845.71,21.609101647
1479654865.54,16.3860705733
1479654882.28,20.8949242982
1479654905.27,16.4008053894
1479654922.13,20.6444324246
1479654946.14,16.4155402055
1479654963.28,20.5118190797
