time,frequency
1444096916.38,16.769126547
1444096935.47,20.3259638963
1444096956.43,16.5550576325
1444096973.99,20.144828661
1444096995.33,16.65385867
1444097013.54,20.1270207719
1444097034.44,16.7150345829
1444097051.96,22.2870281577
1444097072.91,16.4536324152
1444097091.19,21.7779818311
1444097111.63,16.3575402085
1444097128.97,21.2362869655
1444097149.38,16.4696953063
1444097167.31,20.7315890251
1444097187.31,17.955750353
1444097262.39,16.3884645411
1444097280.56,20.0386139814
1444097301.97,17.818727179
1444097320.18,19.5469611997
1444097339.75,17.5389512974
1444097336.77,16.5549328837
1444097357.98,21.2145494897
1444097377.08,16.9601169364
1444097373.73,16.4825785886
1444097394.59,22.516926802
1444097414.28,18.1876982512
1444097410.92,16.5834706152
1444097431.72,20.8834622168
1444097452.24,17.7246222326
1444097470.49,20.4534630566
1444097473.36,20.7015394952
1444097491.4,17.5923147987
1444097488.36,16.7653933368
1444097509.05,21.875767971
1444097606.5,17.5644415379
1444097603.28,16.5630891215
1444097624.22,21.2512390708
1444097621.2,20.9933149636
1444097644.97,16.9575612855
1444097641.75,16.7603252035
1444097662.26,20.8112508879
1444097659.04,21.2664110771
1444097682.36,17.0334213171
1444097678.6,17.5037535126
1444097699.94,19.6816696923
1444097696.81,20.1820631922
1444097720.62,17.1046431673
1444097738.99,19.0436679798
1444097760.73,16.7668775548
1444097769.15,20.4572796172
1444097779.33,21.5456354797
1444097775.92,21.1453206797
1444097800.82,16.7786717872
1444097819.13,20.9463559549
1444097839.17,16.9805254364
1444097800.15,19.8733929645
1444097807.38,20.2721528694
1444097856.89,20.9229251184
1444097853.52,20.8574132192
1444097875.94,16.3239897971
1444097896.84,21.9449107453
1444097917.25,17.1394288962
1444097942.95,16.7265881277
1444097961.24,21.1346621407
1444097980.81,16.6733183511
1444097977.69,18.5910303084
1444097957.9,20.1225363854
1444098063.56,17.2878785243
1444098082.09,20.9844724371
1444098079.01,20.3656593592
1444098104.09,17.2865985156
1444098100.86,17.0969676023
1444098118.81,19.8466158455
1444098121.96,20.1716974112
1444098131.86,23.2710394634
1444098143.37,16.5060615433
1444098139.86,16.8557120875
1444098160.8,20.8690922468
1444098181.87,16.6732857166
1444098178.53,16.7036901118
1444098199.96,21.112327408
1444098207.87,20.8842944444
1444098193.2,16.8709142851
1444098228.58,17.4924101942
1444098252.35,16.8812228141
1444098255.78,16.5979896379
1444098273.64,21.338418586
1444098293.82,16.8066877677
1444098290.48,16.985571879
1444098297.04,17.5520382313
1444098311.49,21.2749700129
1444098329.39,17.2900755247
1444098325.84,17.4256161536
1444098332.3,17.6018189711
1444098347.43,21.1123212582
1444098367.57,17.845792103
1444098364.17,22.1288759746
1444098386.24,19.6724496044
1444098387.64,20.0119161522
1444098404.88,20.9269998896
1444098423.4,18.2407863378
1444098443.88,20.9269998896
1444098407.29,20.1299914731
1444098457.32,16.6780640773
1444098460.86,16.4154448843
1444098464.43,16.260963006
1444098467.14,16.878890519
1444098475.68,22.3321008213
1444098481.62,20.5401110336
1444098484.1,21.6060359935
1444098496.48,16.1837220669
1444098514.37,21.3434168005
1444098535.45,17.2435249444
1444098531.88,20.662691051
1444098553.17,17.3209042531
1444098556.33,16.7708700496
1444098580.78,16.1696698737
1444098593.01,17.2953212668
1444098611.38,20.8006590872
1444098617.76,17.7122645136
1444098631.01,17.0493107047
1444098633.77,18.4560663481
1444098651.92,21.0593727687
1444098670.74,17.1948371505
1444098690.5,20.6551326413
1444098709.63,18.3441219625
1444098728.1,22.1203775628
1444098747.89,17.0746573139
1444098766.13,20.2242151763
1444098753.83,17.1067956594
1444098736.64,20.4652527678
1444098774.86,20.8819339501
1444098797.43,17.2355875684
1444098812.32,22.5163053325
1444098834.39,18.0808299944
1444098852.78,20.9411890246
1444098874.23,18.2641527199
1444098892.16,21.0072358355
1444098913.27,18.2641527199
1444098931.61,20.7374243815
1444098950.92,18.2695132955
1444098969.23,20.9512573657
1444098989.31,16.3653163226
1444099007.33,21.0464672143
1444099026.92,16.355072225
1444099030.09,16.355072225
1444099045.76,20.1916625474
1444099054.42,20.6001208326
1444099057.16,21.592090954
1444099066.24,17.1282254078
1444099073.98,16.646828143
1444099076.77,16.2529576536
1444099037.26,18.0326687538
1444099084.61,20.250013731
1444099091.82,19.8415554457
1444099094.56,19.7394408744
1444099103.5,20.0895479761
1444099111.38,16.5447135717
1444099121.67,20.6499603763
1444099127.57,19.9641331042
1444099140.9,16.1692221987
1444099158.21,21.2748252242
1444099166.91,20.0403361345
1444099169.55,20.4975543158
1444099130.0,20.863328861
1444099178.53,16.4130718954
1444099196.05,19.90317068
1448508618.33,18.0315500866
1448508621.44,16.7146466456
1448508636.02,21.1591957588
1448508638.78,22.4925604928
1448508657.7,18.0809339656
1448508660.73,16.6652627666
1448508675.51,21.1591957588
1448508678.61,22.4760991997
1448508720.66,18.0803792784
1448508723.79,17.0190757077
1448508738.91,21.0155469662
1448508741.67,22.9391596881
1448508761.47,17.8813848589
1448508764.61,17.1849043906
1448508779.57,21.1150441759
1448508782.48,23.1547369759
1448508798.59,20.4486079989
1448508802.37,17.7521169023
1448508805.52,17.1037802452
1448508820.68,22.3788830462
1448508823.62,22.5557021345
1448508841.15,17.575297814
1448508844.6,17.4426834977
1448508836.83,21.5140314519
1448508873.87,21.2258980366
1448508889.97,17.4571129639
1448508893.85,17.5147396469
1448508910.43,22.0441969362
1448508929.29,16.7540674304
1448508947.34,20.4300495323
1448508950.68,20.7619500487
1448508969.07,16.9213869302
1448508986.87,20.9832170596
1448508990.56,20.9674122731
1448509025.97,21.5521893735
1448509030.24,17.1584587277
1448509032.9,17.2216778737
1448509048.49,20.450550164
1448509068.43,19.7698987973
1448509086.52,21.0995433276
1448509109.34,16.7148821978
1448509100.98,22.0828654739
1448509140.0,21.7077510239
1448509147.2,16.8194521361
1448509325.92,17.1081718831
1448509343.9,20.0734859748
1448509346.55,22.4817797399
1448509364.48,17.0098741784
1448509367.67,17.1245548339
1448509381.86,20.1226348271
1448509402.34,17.1737036863
1448509384.91,22.2196525273
1448509440.02,17.4613877485
1448509457.93,22.273473657
1448509461.05,21.9390991075
1448509479.05,17.8975284653
1448509473.97,17.1706272707
1448509497.04,22.011789227
1448509500.2,21.3430401279
1448509517.99,17.0373005541
1448509535.68,21.2711863753
1448509538.97,21.4559988516
1448509558.83,17.1213062251
1448509576.13,21.0023682279
1448509579.25,22.6320782464
