time,frequency
1444096881.02,16.8150133242
1444096898.86,20.3190592202
1444096917.11,16.8150133242
1444096935.4,20.3949043694
1444096956.7,16.6178159361
1444096974.11,20.2238562374
1444096995.42,16.6158332053
1444097013.56,20.1325138822
1444097034.55,16.7985179158
1444097052.24,22.2916857879
1444097073.44,16.5080083333
1444097091.32,21.6836981309
1444097111.74,16.3832929164
1444097129.22,21.3095518805
1444097149.48,16.5080083333
1444097167.67,20.919816203
1444097187.69,17.8642884911
1444097262.68,16.3941364176
1444097280.74,20.0478326294
1444097302.2,17.1414833701
1444097320.41,19.7322861384
1444097339.91,17.6729300918
1444097357.97,21.2435877533
1444097377.12,16.9587985595
1444097394.88,22.7548893682
1448508618.34,17.9379255914
1448508635.98,21.2826315388
1448508657.94,18.0452423598
1448508675.59,21.2110870265
1448508720.74,17.9021533353
1448508739.0,21.0384840829
1448508761.5,17.9620218458
1448508779.77,21.1594685528
1448508802.33,17.4780839659
1448508820.72,22.3520297571
1448508840.89,17.4608004701
1448508874.04,20.9895895074
1448508890.15,17.3321414772
1448508910.3,21.9626720108
1448508929.35,16.6946046646
1448508947.37,21.6942354581
1448508968.93,16.8288229409
1448508986.88,20.4359391175
1448509029.88,19.4907132943
1448509048.49,20.245883941
1448509068.5,19.5593651713
1448509086.51,20.4690025412
1448509109.11,16.6416603998
1448509146.95,17.9460460623
1448509325.79,16.9863662318
1448509343.86,19.9792951588
1448509364.37,16.9863662318
1448509381.95,20.1368177339
1448509402.41,17.353918907
1448509440.22,17.0659474835
1448509457.83,22.3084705283
1448509479.25,16.9242576715
1448509497.18,22.2553368487
1448509517.87,16.72943418
1448509535.8,22.3084705283
1448509558.76,17.0659474835
1448509575.96,21.0863958996
1448509619.21,15.9899755651
1448509664.87,18.5166877621
1448509682.98,22.0289969154
1448509704.46,17.3160514699
1448509735.72,17.4090205006
1448509753.25,21.6229804655
1448509775.66,17.4960857891
1448509793.97,21.2573062536
1448509816.05,17.4888267524
1448509833.67,21.6183887185
1448509855.66,17.3077056136
1448509873.6,20.3505407465
1448509895.59,17.4707146386
1448510072.23,17.0470385978
1448510090.4,20.9076988544
1448510112.44,17.216365802
1448510130.49,21.1955551017
1448510152.01,20.3150536396
1448510169.94,20.2134573171
1448510191.17,19.9051828205
1448510209.21,20.8338709298
1448510231.11,16.453266641
1448510248.24,21.0090951013
1448510269.19,19.2393309687
1448510287.11,22.0604401306
1448510312.54,19.2726172431
1448510330.44,22.4694474652
1448510351.34,19.2190390829
1448510369.33,21.4871811958
1448510390.36,18.9154295088
1451622021.37,17.0124388598
1451622051.08,16.5556679972
1451622069.55,20.5192603212
1451622090.22,16.9829697719
1451622108.62,20.7108093926
1451622128.96,17.0419079478
1451622146.7,20.9519030753
1451622168.02,16.9418114353
1451622186.37,20.9374262102
1451622208.08,16.9273345702
1451622238.12,17.0286726261
1451622256.34,22.0762729334
1451622278.47,17.0695732839
1451622296.04,22.2406720264
1451622317.62,17.1592455164
1451622347.07,17.2040816327
1451622364.98,22.343673282
1451622387.1,17.3218642829
1451622404.88,21.7433987369
1451622425.3,18.4199274751
1451622443.62,21.87516632
1451622463.64,18.5956175859
1451622481.83,22.7536168737
1451622581.29,17.185528757
1451622622.42,16.8665091642
1451622640.47,21.4212046039
1451622660.85,17.123352892
1451622678.43,21.6780483317
1451622699.68,17.2260903832
1451622717.6,19.503438103
1451622739.65,17.6370403476
1451622757.87,19.7906218166
1451622777.83,18.9922018132
1451622796.76,20.0362895099
1451622816.96,18.086302194
1451622835.47,19.6524337391
1451622856.28,17.7792175774
1451622874.05,20.4803654584
1451622895.45,18.4807268151
1451622913.75,20.3838311791
1451622936.32,17.2533624065
1451622954.55,19.8735785598
1451622985.95,17.4740121878
1451623327.89,16.4754830199
1451623346.49,20.2055043195
1451623377.92,16.6524548334
1451623396.71,20.6547404615
1451623418.48,17.1016909753
1451623437.28,20.5186082972
1451623459.74,17.2389944065
1451623477.82,20.3143184963
1451623500.27,17.0143131945
1451623529.76,16.986228043
1451623548.2,19.710487739
1451623570.16,16.9160151642
1451623601.29,16.9647537623
1451623619.57,19.9424364891
1451623641.27,17.1053310584
1451623659.75,20.6708824781
1451623681.6,17.1308905668
1451623699.35,20.4599849633
1451623720.11,17.2849484831
1451623751.17,17.0791590816
1451623770.17,19.9308122166
1451623835.99,16.9328586853
1451623868.43,16.8491819207
1451623886.69,20.7150484471
1451623910.78,16.9328586853
1451623942.31,16.8659172736
1451623960.48,20.5323881518
1451623989.92,16.6561221809
1451624008.4,20.0375456874
1451624030.17,16.293237707
1451624048.41,21.835473308
1479655221.41,16.9449049495
1479655238.57,22.6609566487
1479655256.98,16.8346780573
1479655273.64,22.471996262
1479655293.61,16.5984775738
1479655310.71,22.4562495631
1479655328.5,16.7874379606
1479655381.32,16.650009995
1479655399.57,20.2335367895
1479655418.66,17.1820620081
1479655436.32,20.7655888027
1479655455.61,16.8690902357
1479655472.94,20.4526170302
1479655491.9,16.9473331788
1479655510.44,20.4995382685
1479655528.64,16.9807151994
1479655546.53,20.5150396917
1479655565.28,16.8567038137
1479655582.8,20.2515154971
1479655601.86,16.6396838887
1479655619.13,20.4065297293
1479655639.83,16.3817274521
1479655656.62,20.3760910169
1479655677.06,17.1935899653
1479655693.85,22.292086548
1479655712.94,16.9013194605
1479655730.05,22.0972395448
1479655751.59,17.0799292134
1479655768.7,21.8536807909
1479655787.63,16.6902352071
1571122805.39,21.5645764702
1571122823.82,16.5163397661
1571122845.76,22.1655570302
1571122865.01,16.8018055321
1571122887.03,21.5195029282
1571122929.11,21.0837920222
1571122906.93,17.5079576901
1571122947.55,18.0187911661
1571123043.0,17.6356968976
1571123063.41,20.421078966
1571123081.26,16.2729562082
1571123103.81,20.0766500006
1571123121.66,16.7970872426
1571123145.04,19.8520224144
1571123163.21,17.1757037619
1571123182.18,22.8511707516
1571123204.75,16.5520260707
1571123224.52,21.1360571009
1571123243.09,16.5520260707
1571123261.26,22.5861077329
1571123282.1,17.4177766838
1571123302.78,21.0152719736
1571123322.81,17.4334179677
1571123341.6,19.8734582512
1571123364.04,17.5898308063
1571123380.24,21.1716848123
1571123420.31,20.5661902638
1571123441.66,18.7954293455
1571123461.04,20.5330919289
1571123483.28,16.4950950685
1571123503.38,20.8475261107
1571123524.43,16.7764309153
1571123544.89,21.2899916909
1571123569.0,16.8428335137
1571123588.4,21.3487000497
1571123611.67,18.075709048
1571123631.55,20.277272502
1571123653.98,16.3584895538
1571123672.52,20.5708142959
1571123774.23,16.6865992637
1571123791.56,20.4331510573
1571123812.13,16.8771018973
1571123832.17,20.2743988627
