time,frequency,datetime
1448508618.15,17.948447609,2015-11-26T03:30:18.150000Z
1448508621.23,16.8429172239,2015-11-26T03:30:21.230000Z
1448508636.0,21.1812864625,2015-11-26T03:30:36.000000Z
1448508638.87,22.5045728326,2015-11-26T03:30:38.870000Z
1448508657.74,18.0824512921,2015-11-26T03:30:57.740000Z
1448508660.92,16.7256640012,2015-11-26T03:31:00.920000Z
1448508675.59,21.2315378437,2015-11-26T03:31:15.590000Z
1448508678.62,22.6218260553,2015-11-26T03:31:18.620000Z
1448508720.77,17.9414034632,2015-11-26T03:32:00.770000Z
1448508723.82,16.7471969418,2015-11-26T03:32:03.820000Z
1448508738.79,21.1044369523,2015-11-26T03:32:18.790000Z
1448508741.71,22.9118846604,2015-11-26T03:32:21.710000Z
1448508761.27,18.1027827229,2015-11-26T03:32:41.270000Z
1448508764.63,17.2151967948,2015-11-26T03:32:44.630000Z
1448508779.47,21.1044369523,2015-11-26T03:32:59.470000Z
1448508782.65,23.1378156239,2015-11-26T03:33:02.650000Z
1448508798.44,20.4201447182,2015-11-26T03:33:18.440000Z
1448508802.44,18.0070182677,2015-11-26T03:33:22.440000Z
1448508805.53,17.2167546347,2015-11-26T03:33:25.530000Z
1448508820.48,22.38169195,2015-11-26T03:33:40.480000Z
1448508823.32,22.5369223065,2015-11-26T03:33:43.320000Z
1448508836.67,21.2809676041,2015-11-26T03:33:56.670000Z
1448508841.15,17.5413271983,2015-11-26T03:34:01.150000Z
1448508844.38,17.3155375889,2015-11-26T03:34:04.380000Z
1448508873.89,21.0098151094,2015-11-26T03:34:33.890000Z
1448508889.65,17.4922184294,2015-11-26T03:34:49.650000Z
1448508893.33,17.4475505351,2015-11-26T03:34:53.330000Z
1448508910.06,22.1153454945,2015-11-26T03:35:10.060000Z
1448508929.38,16.6658623839,2015-11-26T03:35:29.380000Z
1448508932.84,17.8160606634,2015-11-26T03:35:32.840000Z
1448508947.64,20.3744991247,2015-11-26T03:35:47.640000Z
1448508950.76,20.7950275605,2015-11-26T03:35:50.760000Z
1448508968.85,16.7257965207,2015-11-26T03:36:08.850000Z
1448508971.7,17.2823782738,2015-11-26T03:36:11.700000Z
1448508986.75,20.9681863281,2015-11-26T03:36:26.750000Z
1448508990.76,20.9929232949,2015-11-26T03:36:30.760000Z
1448509010.4,17.6781697427,2015-11-26T03:36:50.400000Z
1448509025.82,21.5294298216,2015-11-26T03:37:05.820000Z
1448509030.04,17.1754645143,2015-11-26T03:37:10.040000Z
1448509048.41,20.2932882517,2015-11-26T03:37:28.410000Z
1448509051.74,22.1612355128,2015-11-26T03:37:31.740000Z
1448509063.41,21.1311175379,2015-11-26T03:37:43.410000Z
1448509068.26,19.5653382161,2015-11-26T03:37:48.260000Z
1448509086.39,20.5267816593,2015-11-26T03:38:06.390000Z
1448509089.92,20.8564194113,2015-11-26T03:38:09.920000Z
1448509032.72,17.2990786713,2015-11-26T03:37:12.720000Z
1448509100.79,22.1128364593,2015-11-26T03:38:20.790000Z
1448509108.82,16.7427943507,2015-11-26T03:38:28.820000Z
1448509111.67,17.9418304704,2015-11-26T03:38:31.670000Z
1448509139.86,21.6311723771,2015-11-26T03:38:59.860000Z
1448509147.08,16.7632906946,2015-11-26T03:39:07.080000Z
1448509177.94,21.8771285042,2015-11-26T03:39:37.940000Z
1448509325.96,17.0574293653,2015-11-26T03:42:05.960000Z
1448509322.58,19.5509088521,2015-11-26T03:42:02.580000Z
1448509343.9,19.6763669395,2015-11-26T03:42:23.900000Z
1448509346.41,22.5932674712,2015-11-26T03:42:26.410000Z
1448509355.64,21.7464253814,2015-11-26T03:42:35.640000Z
1448509364.25,17.0417471044,2015-11-26T03:42:44.250000Z
1448509367.64,17.7004020632,2015-11-26T03:42:47.640000Z
1448509381.89,20.0841057235,2015-11-26T03:43:01.890000Z
1448509384.96,22.5932674712,2015-11-26T03:43:04.960000Z
