duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold
1.04,1444096802.56,2015-10-06T02:00:02.560000Z,0.276192120232,1.38096060116,1444096802.32,2015-10-06T02:00:02.320000Z,1444096801.52,2015-10-06T02:00:01.520000Z,,,,,,,,,0.5
0.56,1444096807.88,2015-10-06T02:00:07.880000Z,2.57159555953,12.8579777976,1444096807.64,2015-10-06T02:00:07.640000Z,1444096807.32,2015-10-06T02:00:07.320000Z,,,,,,,,,0.5
0.64,1444096814.92,2015-10-06T02:00:14.920000Z,19.2747110704,96.3735553519,1444096814.56,2015-10-06T02:00:14.560000Z,1444096814.28,2015-10-06T02:00:14.280000Z,,,,,,,,,0.5
0.44,1444096820.04,2015-10-06T02:00:20.040000Z,2.78382509203,13.9191254601,1444096819.84,2015-10-06T02:00:19.840000Z,1444096819.6,2015-10-06T02:00:19.600000Z,,,,,,,,,0.5
0.52,1444096828.72,2015-10-06T02:00:28.720000Z,4.8901963858,24.450981929,1444096828.48,2015-10-06T02:00:28.480000Z,1444096828.2,2015-10-06T02:00:28.200000Z,,,,,,,,,0.5
0.48,1444096834.04,2015-10-06T02:00:34.040000Z,2.71295908824,13.5647954412,1444096833.84,2015-10-06T02:00:33.840000Z,1444096833.56,2015-10-06T02:00:33.560000Z,,,,,,,,,0.5
0.72,1444096840.16,2015-10-06T02:00:40.160000Z,5.51701466529,27.5850733264,1444096839.84,2015-10-06T02:00:39.840000Z,1444096839.44,2015-10-06T02:00:39.440000Z,,,,,,,,,0.5
1.6,1444096847.8,2015-10-06T02:00:47.800000Z,2.5169756119,12.5848780595,1444096847.64,2015-10-06T02:00:47.640000Z,1444096846.2,2015-10-06T02:00:46.200000Z,,,,,,,,,0.5
1.0,1444096855.44,2015-10-06T02:00:55.440000Z,1.82185680904,9.1092840452,1444096855.28,2015-10-06T02:00:55.280000Z,1444096854.44,2015-10-06T02:00:54.440000Z,,,,,,,,,0.5
0.72,1444096864.4,2015-10-06T02:01:04.400000Z,4.48640362972,22.4320181486,1444096864.16,2015-10-06T02:01:04.160000Z,1444096863.68,2015-10-06T02:01:03.680000Z,,,,,,,,,0.5
0.52,1444096869.84,2015-10-06T02:01:09.840000Z,4.12659896427,20.6329948213,1444096869.6,2015-10-06T02:01:09.600000Z,1444096869.32,2015-10-06T02:01:09.320000Z,,,,,,,,,0.5
0.48,1444096874.96,2015-10-06T02:01:14.960000Z,1.19862007637,5.99310038187,1444096874.8,2015-10-06T02:01:14.800000Z,1444096874.48,2015-10-06T02:01:14.480000Z,,,,,,,,,0.5
0.52,1444096880.48,2015-10-06T02:01:20.480000Z,201.612447296,1008.06223648,1444096880.28,2015-10-06T02:01:20.280000Z,1444096879.96,2015-10-06T02:01:19.960000Z,,,,,,,,,0.5
0.56,1444096889.96,2015-10-06T02:01:29.960000Z,5.89992503313,29.4996251656,1444096889.72,2015-10-06T02:01:29.720000Z,1444096889.4,2015-10-06T02:01:29.400000Z,,,,,,,,,0.5
0.52,1444096898.48,2015-10-06T02:01:38.480000Z,173.014264209,865.071321045,1444096898.24,2015-10-06T02:01:38.240000Z,1444096897.96,2015-10-06T02:01:37.960000Z,,,,,,,,,0.5
1.08,1444096904.32,2015-10-06T02:01:44.320000Z,6.52500102185,29.5546309788,1444096903.68,2015-10-06T02:01:43.680000Z,1444096903.24,2015-10-06T02:01:43.240000Z,,,,,,,,,0.5
0.92,1444096911.16,2015-10-06T02:01:51.160000Z,4.74565277557,23.7282638778,1444096910.88,2015-10-06T02:01:50.880000Z,1444096910.24,2015-10-06T02:01:50.240000Z,,,,,,,,,0.5
0.6,1444096917.16,2015-10-06T02:01:57.160000Z,60.4129201582,302.064600791,1444096916.92,2015-10-06T02:01:56.920000Z,1444096916.56,2015-10-06T02:01:56.560000Z,,,,,,,,,0.5
0.84,1444096924.2,2015-10-06T02:02:04.200000Z,4.72769938892,23.6384969446,1444096924.0,2015-10-06T02:02:04.000000Z,1444096923.36,2015-10-06T02:02:03.360000Z,,,,,,,,,0.5
0.24,1444096929.4,2015-10-06T02:02:09.400000Z,2.89210722891,2.10928542687,1444096929.32,2015-10-06T02:02:09.320000Z,1444096929.16,2015-10-06T02:02:09.160000Z,,,,,,,,,0.5
0.56,1444096935.32,2015-10-06T02:02:15.320000Z,534.91028974,2674.5514487,1444096935.04,2015-10-06T02:02:15.040000Z,1444096934.76,2015-10-06T02:02:14.760000Z,,,,,,,,,0.5
1.08,1444096942.0,2015-10-06T02:02:22.000000Z,7.22686594933,36.1343297466,1444096941.16,2015-10-06T02:02:21.160000Z,1444096940.92,2015-10-06T02:02:20.920000Z,,,,,,,,,0.5
0.48,1444096947.0,2015-10-06T02:02:27.000000Z,3.08336452197,15.4168226099,1444096946.8,2015-10-06T02:02:26.800000Z,1444096946.52,2015-10-06T02:02:26.520000Z,,,,,,,,,0.5
0.52,1444096956.08,2015-10-06T02:02:36.080000Z,332.595286856,1662.97643428,1444096955.88,2015-10-06T02:02:35.880000Z,1444096955.56,2015-10-06T02:02:35.560000Z,,,,,,,,,0.5
1.36,1444096963.92,2015-10-06T02:02:43.920000Z,1.9744168421,9.8720842105,1444096962.84,2015-10-06T02:02:42.840000Z,1444096962.56,2015-10-06T02:02:42.560000Z,,,,,,,,,0.5
0.48,1444096968.92,2015-10-06T02:02:48.920000Z,3.26627743009,16.3313871505,1444096968.68,2015-10-06T02:02:48.680000Z,1444096968.44,2015-10-06T02:02:48.440000Z,,,,,,,,,0.5
0.56,1444096974.0,2015-10-06T02:02:54.000000Z,630.985471866,3154.92735933,1444096973.76,2015-10-06T02:02:53.760000Z,1444096973.44,2015-10-06T02:02:53.440000Z,,,,,,,,,0.5
