start_time,Station
2020-03-01T02:00:00.000000Z,AXBA1
2020-03-01T04:00:00.000000Z,AXBA1
2020-03-01T06:00:00.000000Z,AXBA1
2019-07-01T00:00:00.000000Z,AXBA1
2019-07-01T02:00:00.000000Z,AXBA1
2019-07-01T04:00:00.000000Z,AXBA1
2019-07-01T06:00:00.000000Z,AXBA1
2019-07-01T08:00:00.000000Z,AXBA1
2019-07-01T10:00:00.000000Z,AXBA1
2019-07-01T12:00:00.000000Z,AXBA1
2019-07-01T14:00:00.000000Z,AXBA1
2019-07-01T16:00:00.000000Z,AXBA1
2019-07-01T18:00:00.000000Z,AXBA1
2019-07-01T20:00:00.000000Z,AXBA1
2019-07-01T22:00:00.000000Z,AXBA1
2019-07-02T00:00:00.000000Z,AXBA1
2019-07-02T02:00:00.000000Z,AXBA1
2019-07-02T04:00:00.000000Z,AXBA1
2019-07-02T06:00:00.000000Z,AXBA1
2019-07-02T08:00:00.000000Z,AXBA1
2019-07-02T10:00:00.000000Z,AXBA1
2019-07-02T12:00:00.000000Z,AXBA1
2019-07-02T14:00:00.000000Z,AXBA1
2019-07-02T16:00:00.000000Z,AXBA1
2019-07-02T18:00:00.000000Z,AXBA1
2019-07-02T20:00:00.000000Z,AXBA1
2019-07-02T22:00:00.000000Z,AXBA1
2019-07-03T00:00:00.000000Z,AXBA1
2019-07-03T02:00:00.000000Z,AXBA1
2019-07-03T04:00:00.000000Z,AXBA1
2019-07-03T06:00:00.000000Z,AXBA1
2019-07-03T08:00:00.000000Z,AXBA1
2019-07-03T10:00:00.000000Z,AXBA1
2019-07-03T12:00:00.000000Z,AXBA1
2019-07-03T14:00:00.000000Z,AXBA1
2019-07-03T16:00:00.000000Z,AXBA1
2019-07-03T18:00:00.000000Z,AXBA1
2019-07-03T20:00:00.000000Z,AXBA1
2019-07-03T22:00:00.000000Z,AXBA1
2019-07-04T00:00:00.000000Z,AXBA1
2019-07-04T02:00:00.000000Z,AXBA1
2019-07-04T04:00:00.000000Z,AXBA1
2019-07-04T06:00:00.000000Z,AXBA1
2019-07-04T08:00:00.000000Z,AXBA1
2019-07-04T10:00:00.000000Z,AXBA1
2019-07-04T12:00:00.000000Z,AXBA1
2019-07-04T14:00:00.000000Z,AXBA1
2019-07-04T16:00:00.000000Z,AXBA1
2019-07-04T18:00:00.000000Z,AXBA1
2019-07-04T20:00:00.000000Z,AXBA1
2019-07-04T22:00:00.000000Z,AXBA1
2019-07-05T00:00:00.000000Z,AXBA1
2019-07-05T02:00:00.000000Z,AXBA1
2019-07-05T04:00:00.000000Z,AXBA1
2019-07-05T06:00:00.000000Z,AXBA1
2019-07-05T08:00:00.000000Z,AXBA1
2019-07-05T10:00:00.000000Z,AXBA1
2019-07-05T12:00:00.000000Z,AXBA1
2019-07-05T14:00:00.000000Z,AXBA1
2019-07-05T16:00:00.000000Z,AXBA1
2019-07-05T18:00:00.000000Z,AXBA1
2019-07-05T20:00:00.000000Z,AXBA1
2019-07-05T22:00:00.000000Z,AXBA1
2019-07-06T00:00:00.000000Z,AXBA1
2019-07-06T02:00:00.000000Z,AXBA1
2019-07-06T04:00:00.000000Z,AXBA1
2019-07-06T06:00:00.000000Z,AXBA1
2019-07-06T08:00:00.000000Z,AXBA1
2019-07-06T10:00:00.000000Z,AXBA1
2019-07-06T12:00:00.000000Z,AXBA1
2019-07-06T14:00:00.000000Z,AXBA1
2019-07-06T16:00:00.000000Z,AXBA1
2019-07-06T18:00:00.000000Z,AXBA1
2019-07-06T20:00:00.000000Z,AXBA1
2019-07-06T22:00:00.000000Z,AXBA1
2019-07-07T00:00:00.000000Z,AXBA1
2019-07-07T02:00:00.000000Z,AXBA1
2019-07-07T04:00:00.000000Z,AXBA1
2019-07-07T06:00:00.000000Z,AXBA1
2019-07-07T08:00:00.000000Z,AXBA1
2019-07-07T10:00:00.000000Z,AXBA1
2019-07-07T12:00:00.000000Z,AXBA1
2019-07-07T14:00:00.000000Z,AXBA1
2019-07-07T16:00:00.000000Z,AXBA1
2019-07-07T18:00:00.000000Z,AXBA1
2019-07-07T20:00:00.000000Z,AXBA1
2019-07-07T22:00:00.000000Z,AXBA1
2019-07-08T00:00:00.000000Z,AXBA1
