duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold
0.4,1581270003.52,2020-02-09T17:40:03.520000Z,0.252474100657,1.26237050329,1581270003.36,2020-02-09T17:40:03.360000Z,1581270003.12,2020-02-09T17:40:03.120000Z,,,,,,,,,0.5
0.52,1581270013.16,2020-02-09T17:40:13.160000Z,23.1596270834,115.798135417,1581270012.92,2020-02-09T17:40:12.920000Z,1581270012.64,2020-02-09T17:40:12.640000Z,,,,,,,,,0.5
0.4,1581270018.32,2020-02-09T17:40:18.320000Z,0.738097138076,3.69048569038,1581270018.16,2020-02-09T17:40:18.160000Z,1581270017.92,2020-02-09T17:40:17.920000Z,,,,,,,,,0.5
0.52,1581270025.2,2020-02-09T17:40:25.200000Z,1.01780176316,5.08900881581,1581270024.96,2020-02-09T17:40:24.960000Z,1581270024.68,2020-02-09T17:40:24.680000Z,,,,,,,,,0.5
0.52,1581270035.16,2020-02-09T17:40:35.160000Z,7.18625251113,35.9312625556,1581270034.96,2020-02-09T17:40:34.960000Z,1581270034.64,2020-02-09T17:40:34.640000Z,,,,,,,,,0.5
0.36,1581270042.0,2020-02-09T17:40:42.000000Z,1.93296103968,9.66480519838,1581270041.84,2020-02-09T17:40:41.840000Z,1581270041.64,2020-02-09T17:40:41.640000Z,,,,,,,,,0.5
0.28,1581270048.48,2020-02-09T17:40:48.480000Z,0.325616913416,1.62808456708,1581270048.4,2020-02-09T17:40:48.400000Z,1581270048.2,2020-02-09T17:40:48.200000Z,,,,,,,,,0.5
0.48,1581270053.76,2020-02-09T17:40:53.760000Z,21.4529341217,107.264670609,1581270053.52,2020-02-09T17:40:53.520000Z,1581270053.28,2020-02-09T17:40:53.280000Z,,,,,,,,,0.5
0.36,1581270062.32,2020-02-09T17:41:02.320000Z,1.30918701431,6.54593507157,1581270062.16,2020-02-09T17:41:02.160000Z,1581270061.96,2020-02-09T17:41:01.960000Z,,,,,,,,,0.5
0.4,1581270077.92,2020-02-09T17:41:17.920000Z,6.9302346785,34.6511733925,1581270077.76,2020-02-09T17:41:17.760000Z,1581270077.52,2020-02-09T17:41:17.520000Z,,,,,,,,,0.5
0.56,1581270088.64,2020-02-09T17:41:28.640000Z,1.13800131888,5.6900065944,1581270088.28,2020-02-09T17:41:28.280000Z,1581270088.08,2020-02-09T17:41:28.080000Z,,,,,,,,,0.5
0.48,1581270097.36,2020-02-09T17:41:37.360000Z,15.5525576453,77.7627882266,1581270097.12,2020-02-09T17:41:37.120000Z,1581270096.88,2020-02-09T17:41:36.880000Z,,,,,,,,,0.5
0.28,1581270103.64,2020-02-09T17:41:43.640000Z,0.818093870473,4.09046935236,1581270103.52,2020-02-09T17:41:43.520000Z,1581270103.36,2020-02-09T17:41:43.360000Z,,,,,,,,,0.5
0.6,1581270109.84,2020-02-09T17:41:49.840000Z,0.556912778343,2.78456389171,1581270109.48,2020-02-09T17:41:49.480000Z,1581270109.24,2020-02-09T17:41:49.240000Z,,,,,,,,,0.5
0.36,1581270118.2,2020-02-09T17:41:58.200000Z,6.49270112898,32.4635056449,1581270118.04,2020-02-09T17:41:58.040000Z,1581270117.84,2020-02-09T17:41:57.840000Z,,,,,,,,,0.5
0.68,1581270125.24,2020-02-09T17:42:05.240000Z,1.36202561832,6.81012809159,1581270125.04,2020-02-09T17:42:05.040000Z,1581270124.56,2020-02-09T17:42:04.560000Z,,,,,,,,,0.5
0.28,1581270130.92,2020-02-09T17:42:10.920000Z,0.613200573522,3.06600286761,1581270130.76,2020-02-09T17:42:10.760000Z,1581270130.64,2020-02-09T17:42:10.640000Z,,,,,,,,,0.5
0.48,1581270137.64,2020-02-09T17:42:17.640000Z,17.9423900071,89.7119500354,1581270137.44,2020-02-09T17:42:17.440000Z,1581270137.16,2020-02-09T17:42:17.160000Z,,,,,,,,,0.5
0.4,1581270143.64,2020-02-09T17:42:23.640000Z,0.792318054414,3.96159027207,1581270143.48,2020-02-09T17:42:23.480000Z,1581270143.24,2020-02-09T17:42:23.240000Z,,,,,,,,,0.5
0.36,1581270151.72,2020-02-09T17:42:31.720000Z,0.877014855214,4.38507427607,1581270151.56,2020-02-09T17:42:31.560000Z,1581270151.36,2020-02-09T17:42:31.360000Z,,,,,,,,,0.5
0.48,1581270158.36,2020-02-09T17:42:38.360000Z,5.91622357782,29.5811178891,1581270158.16,2020-02-09T17:42:38.160000Z,1581270157.88,2020-02-09T17:42:37.880000Z,,,,,,,,,0.5
0.32,1581270169.64,2020-02-09T17:42:49.640000Z,0.699259404858,3.49629702429,1581270169.52,2020-02-09T17:42:49.520000Z,1581270169.32,2020-02-09T17:42:49.320000Z,,,,,,,,,0.5
0.44,1581270177.8,2020-02-09T17:42:57.800000Z,18.942665521,94.7133276049,1581270177.6,2020-02-09T17:42:57.600000Z,1581270177.36,2020-02-09T17:42:57.360000Z,,,,,,,,,0.5
0.4,1581270183.16,2020-02-09T17:43:03.160000Z,1.65899972879,8.29499864395,1581270183.0,2020-02-09T17:43:03.000000Z,1581270182.76,2020-02-09T17:43:02.760000Z,,,,,,,,,0.5
0.44,1581270189.4,2020-02-09T17:43:09.400000Z,0.944994877405,4.72497438703,1581270189.24,2020-02-09T17:43:09.240000Z,1581270188.96,2020-02-09T17:43:08.960000Z,,,,,,,,,0.5
0.52,1581270200.44,2020-02-09T17:43:20.440000Z,7.96334480656,39.8167240328,1581270200.24,2020-02-09T17:43:20.240000Z,1581270199.92,2020-02-09T17:43:19.920000Z,,,,,,,,,0.5
0.4,1581270208.84,2020-02-09T17:43:28.840000Z,0.832678666937,4.16339333469,1581270208.72,2020-02-09T17:43:28.720000Z,1581270208.44,2020-02-09T17:43:28.440000Z,,,,,,,,,0.5
0.56,1581270219.32,2020-02-09T17:43:39.320000Z,10.9818328395,54.9091641977,1581270219.04,2020-02-09T17:43:39.040000Z,1581270218.76,2020-02-09T17:43:38.760000Z,,,,,,,,,0.5
0.6,1581270225.92,2020-02-09T17:43:45.920000Z,0.78134578437,3.90672892185,1581270225.56,2020-02-09T17:43:45.560000Z,1581270225.32,2020-02-09T17:43:45.320000Z,,,,,,,,,0.5
0.44,1581270231.92,2020-02-09T17:43:51.920000Z,0.890346190171,4.45173095086,1581270231.72,2020-02-09T17:43:51.720000Z,1581270231.48,2020-02-09T17:43:51.480000Z,,,,,,,,,0.5
0.44,1581270241.0,2020-02-09T17:44:01.000000Z,5.62736278095,28.1368139048,1581270240.84,2020-02-09T17:44:00.840000Z,1581270240.56,2020-02-09T17:44:00.560000Z,,,,,,,,,0.5
0.48,1581270246.2,2020-02-09T17:44:06.200000Z,1.28627550971,6.43137754853,1581270246.0,2020-02-09T17:44:06.000000Z,1581270245.72,2020-02-09T17:44:05.720000Z,,,,,,,,,0.5
0.2,1581270258.0,2020-02-09T17:44:18.000000Z,0.259587156118,1.29793578059,1581270257.92,2020-02-09T17:44:17.920000Z,1581270257.8,2020-02-09T17:44:17.800000Z,,,,,,,,,0.5
0.48,1581270263.68,2020-02-09T17:44:23.680000Z,3.50158491788,17.5079245894,1581270263.48,2020-02-09T17:44:23.480000Z,1581270263.2,2020-02-09T17:44:23.200000Z,,,,,,,,,0.5
0.28,1581270269.16,2020-02-09T17:44:29.160000Z,1.60298028342,8.01490141709,1581270269.04,2020-02-09T17:44:29.040000Z,1581270268.88,2020-02-09T17:44:28.880000Z,,,,,,,,,0.5
0.44,1581270282.92,2020-02-09T17:44:42.920000Z,1.24598128348,6.22990641738,1581270282.72,2020-02-09T17:44:42.720000Z,1581270282.48,2020-02-09T17:44:42.480000Z,,,,,,,,,0.5
0.36,1581270288.88,2020-02-09T17:44:48.880000Z,1.70709184441,8.53545922204,1581270288.72,2020-02-09T17:44:48.720000Z,1581270288.52,2020-02-09T17:44:48.520000Z,,,,,,,,,0.5
0.24,1581270297.24,2020-02-09T17:44:57.240000Z,0.416767355895,2.08383677948,1581270297.16,2020-02-09T17:44:57.160000Z,1581270297.0,2020-02-09T17:44:57.000000Z,,,,,,,,,0.5
0.44,1581270304.92,2020-02-09T17:45:04.920000Z,1.69138653441,8.45693267206,1581270304.72,2020-02-09T17:45:04.720000Z,1581270304.48,2020-02-09T17:45:04.480000Z,,,,,,,,,0.5
0.2,1581270311.28,2020-02-09T17:45:11.280000Z,0.279728987776,1.39864493888,1581270311.2,2020-02-09T17:45:11.200000Z,1581270311.08,2020-02-09T17:45:11.080000Z,,,,,,,,,0.5
0.24,1581270316.76,2020-02-09T17:45:16.760000Z,0.60164405248,3.0082202624,1581270316.68,2020-02-09T17:45:16.680000Z,1581270316.52,2020-02-09T17:45:16.520000Z,,,,,,,,,0.5
0.4,1581270326.52,2020-02-09T17:45:26.520000Z,1.38368998319,6.91844991595,1581270326.36,2020-02-09T17:45:26.360000Z,1581270326.12,2020-02-09T17:45:26.120000Z,,,,,,,,,0.5
0.44,1581270348.28,2020-02-09T17:45:48.280000Z,2.35020411274,11.7510205637,1581270348.08,2020-02-09T17:45:48.080000Z,1581270347.84,2020-02-09T17:45:47.840000Z,,,,,,,,,0.5
0.56,1581270353.8,2020-02-09T17:45:53.800000Z,5.27577336803,26.3788668401,1581270353.6,2020-02-09T17:45:53.600000Z,1581270353.24,2020-02-09T17:45:53.240000Z,,,,,,,,,0.5
0.32,1581270359.32,2020-02-09T17:45:59.320000Z,0.673806719018,3.36903359509,1581270359.16,2020-02-09T17:45:59.160000Z,1581270359.0,2020-02-09T17:45:59.000000Z,,,,,,,,,0.5
0.48,1581270365.44,2020-02-09T17:46:05.440000Z,1.96475814156,9.82379070782,1581270365.2,2020-02-09T17:46:05.200000Z,1581270364.96,2020-02-09T17:46:04.960000Z,,,,,,,,,0.5
0.48,1581270373.12,2020-02-09T17:46:13.120000Z,10.4306593055,52.1532965273,1581270372.88,2020-02-09T17:46:12.880000Z,1581270372.64,2020-02-09T17:46:12.640000Z,,,,,,,,,0.5
0.4,1581270378.08,2020-02-09T17:46:18.080000Z,1.47945158083,7.39725790413,1581270377.92,2020-02-09T17:46:17.920000Z,1581270377.68,2020-02-09T17:46:17.680000Z,,,,,,,,,0.5
0.44,1581270385.64,2020-02-09T17:46:25.640000Z,1.36235744671,6.81178723354,1581270385.4,2020-02-09T17:46:25.400000Z,1581270385.2,2020-02-09T17:46:25.200000Z,,,,,,,,,0.5
0.52,1581270392.04,2020-02-09T17:46:32.040000Z,12.2525060798,61.2625303991,1581270391.8,2020-02-09T17:46:31.800000Z,1581270391.52,2020-02-09T17:46:31.520000Z,,,,,,,,,0.5
0.52,1581270400.84,2020-02-09T17:46:40.840000Z,1.28635936235,6.43179681177,1581270400.52,2020-02-09T17:46:40.520000Z,1581270400.32,2020-02-09T17:46:40.320000Z,,,,,,,,,0.5
0.48,1581270410.76,2020-02-09T17:46:50.760000Z,10.7923007069,53.9615035346,1581270410.52,2020-02-09T17:46:50.520000Z,1581270410.28,2020-02-09T17:46:50.280000Z,,,,,,,,,0.5
0.32,1581270418.44,2020-02-09T17:46:58.440000Z,0.992230991183,4.96115495592,1581270418.28,2020-02-09T17:46:58.280000Z,1581270418.12,2020-02-09T17:46:58.120000Z,,,,,,,,,0.5
0.48,1581270429.76,2020-02-09T17:47:09.760000Z,10.1036638276,50.5183191381,1581270429.52,2020-02-09T17:47:09.520000Z,1581270429.28,2020-02-09T17:47:09.280000Z,,,,,,,,,0.5
0.52,1581270437.52,2020-02-09T17:47:17.520000Z,1.41324082293,7.06620411464,1581270437.24,2020-02-09T17:47:17.240000Z,1581270437.0,2020-02-09T17:47:17.000000Z,,,,,,,,,0.5
0.48,1581270444.28,2020-02-09T17:47:24.280000Z,0.818182731803,4.09091365902,1581270444.04,2020-02-09T17:47:24.040000Z,1581270443.8,2020-02-09T17:47:23.800000Z,,,,,,,,,0.5
0.44,1581270449.24,2020-02-09T17:47:29.240000Z,10.3661928294,51.8309641469,1581270449.04,2020-02-09T17:47:29.040000Z,1581270448.8,2020-02-09T17:47:28.800000Z,,,,,,,,,0.5
0.48,1581270458.68,2020-02-09T17:47:38.680000Z,1.68531034835,8.42655174174,1581270458.44,2020-02-09T17:47:38.440000Z,1581270458.2,2020-02-09T17:47:38.200000Z,,,,,,,,,0.5
0.48,1581270468.76,2020-02-09T17:47:48.760000Z,13.839158961,69.195794805,1581270468.52,2020-02-09T17:47:48.520000Z,1581270468.28,2020-02-09T17:47:48.280000Z,,,,,,,,,0.5
0.68,1581270475.36,2020-02-09T17:47:55.360000Z,1.38884234802,2.27169069392,1581270474.88,2020-02-09T17:47:54.880000Z,1581270474.68,2020-02-09T17:47:54.680000Z,,,,,,,,,0.5
0.4,1581270480.04,2020-02-09T17:48:00.040000Z,1.8981282585,9.4906412925,1581270479.88,2020-02-09T17:47:59.880000Z,1581270479.64,2020-02-09T17:47:59.640000Z,,,,,,,,,0.5
0.48,1581270488.0,2020-02-09T17:48:08.000000Z,17.6264442018,88.1322210089,1581270487.76,2020-02-09T17:48:07.760000Z,1581270487.52,2020-02-09T17:48:07.520000Z,,,,,,,,,0.5
0.32,1581270497.84,2020-02-09T17:48:17.840000Z,1.31123420819,6.55617104093,1581270497.72,2020-02-09T17:48:17.720000Z,1581270497.52,2020-02-09T17:48:17.520000Z,,,,,,,,,0.5
0.48,1581270507.4,2020-02-09T17:48:27.400000Z,15.9551543272,79.7757716362,1581270507.2,2020-02-09T17:48:27.200000Z,1581270506.92,2020-02-09T17:48:26.920000Z,,,,,,,,,0.5
0.44,1581270512.52,2020-02-09T17:48:32.520000Z,1.69307450343,8.46537251714,1581270512.28,2020-02-09T17:48:32.280000Z,1581270512.08,2020-02-09T17:48:32.080000Z,,,,,,,,,0.5
0.48,1581270519.28,2020-02-09T17:48:39.280000Z,1.29974083215,6.49870416073,1581270519.04,2020-02-09T17:48:39.040000Z,1581270518.8,2020-02-09T17:48:38.800000Z,,,,,,,,,0.5
0.48,1581270526.64,2020-02-09T17:48:46.640000Z,18.3947390614,91.9736953068,1581270526.4,2020-02-09T17:48:46.400000Z,1581270526.16,2020-02-09T17:48:46.160000Z,,,,,,,,,0.5
0.4,1581270539.8,2020-02-09T17:48:59.800000Z,1.5446941244,7.72347062198,1581270539.6,2020-02-09T17:48:59.600000Z,1581270539.4,2020-02-09T17:48:59.400000Z,,,,,,,,,0.5
0.48,1581270546.08,2020-02-09T17:49:06.080000Z,16.7038313557,83.5191567785,1581270545.84,2020-02-09T17:49:05.840000Z,1581270545.6,2020-02-09T17:49:05.600000Z,,,,,,,,,0.5
0.72,1581270552.64,2020-02-09T17:49:12.640000Z,2.93867067705,14.6933533853,1581270552.44,2020-02-09T17:49:12.440000Z,1581270551.92,2020-02-09T17:49:11.920000Z,,,,,,,,,0.5
0.4,1581270558.72,2020-02-09T17:49:18.720000Z,0.840890811293,4.20445405647,1581270558.52,2020-02-09T17:49:18.520000Z,1581270558.32,2020-02-09T17:49:18.320000Z,,,,,,,,,0.5
0.48,1581270565.28,2020-02-09T17:49:25.280000Z,16.4482242374,82.2411211872,1581270565.04,2020-02-09T17:49:25.040000Z,1581270564.8,2020-02-09T17:49:24.800000Z,,,,,,,,,0.5
0.56,1581270575.4,2020-02-09T17:49:35.400000Z,0.982812454355,4.91406227177,1581270575.2,2020-02-09T17:49:35.200000Z,1581270574.84,2020-02-09T17:49:34.840000Z,,,,,,,,,0.5
0.32,1581270580.6,2020-02-09T17:49:40.600000Z,0.608626589345,3.04313294672,1581270580.44,2020-02-09T17:49:40.440000Z,1581270580.28,2020-02-09T17:49:40.280000Z,,,,,,,,,0.5
0.48,1581270590.96,2020-02-09T17:49:50.960000Z,0.440305607648,2.20152803824,1581270590.68,2020-02-09T17:49:50.680000Z,1581270590.48,2020-02-09T17:49:50.480000Z,,,,,,,,,0.5
0.52,1581287404.88,2020-02-09T22:30:04.880000Z,1.81112825255,9.05564126277,1581287404.64,2020-02-09T22:30:04.640000Z,1581287404.36,2020-02-09T22:30:04.360000Z,,,,,,,,,0.5
0.6,1581287415.8,2020-02-09T22:30:15.800000Z,13.9203879102,69.6019395509,1581287415.52,2020-02-09T22:30:15.520000Z,1581287415.2,2020-02-09T22:30:15.200000Z,,,,,,,,,0.5
0.44,1581287425.36,2020-02-09T22:30:25.360000Z,6.34205515646,31.7102757823,1581287425.16,2020-02-09T22:30:25.160000Z,1581287424.92,2020-02-09T22:30:24.920000Z,,,,,,,,,0.5
0.96,1581287435.72,2020-02-09T22:30:35.720000Z,23.1047647134,115.523823567,1581287435.04,2020-02-09T22:30:35.040000Z,1581287434.76,2020-02-09T22:30:34.760000Z,,,,,,,,,0.5
0.56,1581287440.6,2020-02-09T22:30:40.600000Z,8.27148528083,41.3574264042,1581287440.32,2020-02-09T22:30:40.320000Z,1581287440.04,2020-02-09T22:30:40.040000Z,,,,,,,,,0.5
0.48,1581287446.0,2020-02-09T22:30:46.000000Z,2.36191182086,11.8095591043,1581287445.8,2020-02-09T22:30:45.800000Z,1581287445.52,2020-02-09T22:30:45.520000Z,,,,,,,,,0.5
0.4,1581287452.04,2020-02-09T22:30:52.040000Z,1.32987578873,6.64937894363,1581287451.84,2020-02-09T22:30:51.840000Z,1581287451.64,2020-02-09T22:30:51.640000Z,,,,,,,,,0.5
0.56,1581287457.48,2020-02-09T22:30:57.480000Z,1.87194668762,9.35973343809,1581287457.24,2020-02-09T22:30:57.240000Z,1581287456.92,2020-02-09T22:30:56.920000Z,,,,,,,,,0.5
1.04,1581287466.24,2020-02-09T22:31:06.240000Z,12.1212052801,60.6060264005,1581287465.92,2020-02-09T22:31:05.920000Z,1581287465.2,2020-02-09T22:31:05.200000Z,,,,,,,,,0.5
0.56,1581287473.56,2020-02-09T22:31:13.560000Z,3.32652594442,16.6326297221,1581287473.28,2020-02-09T22:31:13.280000Z,1581287473.0,2020-02-09T22:31:13.000000Z,,,,,,,,,0.5
0.32,1581287482.36,2020-02-09T22:31:22.360000Z,1.05922349343,5.29611746713,1581287482.2,2020-02-09T22:31:22.200000Z,1581287482.04,2020-02-09T22:31:22.040000Z,,,,,,,,,0.5
