duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,max_amp
0.3,,2019-07-10T20:19:09.950000Z,164.780925888,823.904629441,1562789949.9,2019-07-10T20:19:09.900000Z,,2019-07-10T20:19:09.650000Z,,,16.1675217701,15.945169815,17.7392001323,,,,350,-161.215468265
0.45,,2019-07-10T20:19:36.500000Z,70.2006413524,351.003206762,1562789976.35,2019-07-10T20:19:36.350000Z,,2019-07-10T20:19:36.050000Z,,,16.9124146763,16.8699190417,18.6126482781,,,,350,-163.907261631
0.3,,2019-07-10T22:18:16.250000Z,516.38559729,2581.92798645,1562797096.15,2019-07-10T22:18:16.150000Z,,2019-07-10T22:18:15.950000Z,,,16.373287498,16.2736097558,17.9054432329,,,,350,
0.5,,2019-07-11T00:15:58.500000Z,245.594956188,1227.97478094,1562804158.3,2019-07-11T00:15:58.300000Z,,2019-07-11T00:15:58.000000Z,,,19.6430499655,19.6763414054,20.0342048723,,,,350,
0.3,,2019-07-11T08:40:06.950000Z,79.443616017,397.218080085,1562834406.9,2019-07-11T08:40:06.900000Z,,2019-07-11T08:40:06.650000Z,,,16.049768694,15.7462058822,17.5878695301,,,,350,
0.2,,2019-07-11T10:14:53.550000Z,211.181357704,1055.90678852,1562840093.5,2019-07-11T10:14:53.500000Z,,2019-07-11T10:14:53.350000Z,,,16.4146321129,16.2273155554,18.7170321907,,,,350,-157.382044262
1.15,,2019-07-11T10:42:47.750000Z,106.452250021,532.261250107,1562841767.05,2019-07-11T10:42:47.050000Z,,2019-07-11T10:42:46.600000Z,,,20.1494774602,20.391350296,20.3101712406,,,,350,-164.073752545
0.6,,2019-07-12T09:21:11.100000Z,2997.63028412,14988.1514206,1562923270.95,2019-07-12T09:21:10.950000Z,,2019-07-12T09:21:10.500000Z,,,16.985606196,17.0048227941,16.9756004131,,,,350,
0.45,,2019-07-12T11:28:28.550000Z,75.4969402011,377.484701005,1562930908.4,2019-07-12T11:28:28.400000Z,,2019-07-12T11:28:28.100000Z,,,17.7703350661,17.7733241749,17.642994938,,,,350,
0.95,,2019-07-12T16:11:35.900000Z,85.1393183428,425.696591714,1562947895.3,2019-07-12T16:11:35.300000Z,,2019-07-12T16:11:34.950000Z,,,19.4643600195,19.3534174303,19.2892915487,,,,350,
0.35,,2019-07-12T22:01:34.900000Z,378.906432626,1894.53216313,1562968894.85,2019-07-12T22:01:34.850000Z,,2019-07-12T22:01:34.550000Z,,,19.5197893018,19.189940531,20.5033658215,,,,350,-159.476574421
0.3,,2019-07-12T22:17:10.000000Z,1298.23242727,6491.16213634,1562969829.9,2019-07-12T22:17:09.900000Z,,2019-07-12T22:17:09.700000Z,,,18.3976719666,18.4780183238,18.4108036557,,,,350,-153.105782159
0.15,,2019-07-13T00:08:28.250000Z,174.223158193,871.115790963,1562976508.25,2019-07-13T00:08:28.250000Z,,2019-07-13T00:08:28.100000Z,,,16.4209399191,16.1898482184,18.1412105051,,,,350,-153.952016883
0.4,,2019-07-13T00:16:11.650000Z,359.026874913,1795.13437456,1562976971.55,2019-07-13T00:16:11.550000Z,,2019-07-13T00:16:11.250000Z,,,19.8251739545,19.6552239472,20.4799964067,,,,350,-160.050628091
0.3,,2019-07-13T02:27:49.900000Z,130.019652099,650.098260494,1562984869.8,2019-07-13T02:27:49.800000Z,,2019-07-13T02:27:49.600000Z,,,16.706434357,16.4263074043,19.0337961166,,,,350,
0.45,,2019-07-13T07:33:23.300000Z,74.7868010848,373.934005424,1563003203.1,2019-07-13T07:33:23.100000Z,,2019-07-13T07:33:22.850000Z,,,18.8332556498,18.7195771991,19.7942565151,,,,350,
0.5,,2019-07-13T14:26:48.350000Z,120.138237396,600.691186979,1563028008.15,2019-07-13T14:26:48.150000Z,,2019-07-13T14:26:47.850000Z,,,17.0481242856,17.0460308189,18.5603021403,,,,350,
0.4,,2019-07-14T00:38:47.750000Z,109.735861968,548.679309842,1563064727.65,2019-07-14T00:38:47.650000Z,,2019-07-14T00:38:47.350000Z,,,16.4415670141,16.4113390539,16.7732473173,,,,350,
0.25,,2019-07-14T02:26:32.900000Z,90.4103144141,452.051572071,1563071192.85,2019-07-14T02:26:32.850000Z,,2019-07-14T02:26:32.650000Z,,,15.9221080724,15.7479838987,21.135643976,,,,350,-159.386096957
0.8,,2019-07-14T03:24:27.450000Z,117.596806928,587.984034639,1563074667.05,2019-07-14T03:24:27.050000Z,,2019-07-14T03:24:26.650000Z,,,20.8275002596,20.837516309,20.8619713108,,,,350,-163.792380652
0.35,,2019-07-14T03:55:32.250000Z,586.542190963,2932.71095481,1563076532.15,2019-07-14T03:55:32.150000Z,,2019-07-14T03:55:31.900000Z,,,17.1907856032,17.0746874605,18.6674755377,,,,350,-156.055921199
0.45,,2019-07-14T13:09:24.150000Z,2253.63676231,11268.1838116,1563109764.0,2019-07-14T13:09:24.000000Z,,2019-07-14T13:09:23.700000Z,,,18.2147053632,18.2126676848,18.217437812,,,,350,
0.25,,2019-07-14T17:36:17.400000Z,94.2892088758,471.446044379,1563125777.35,2019-07-14T17:36:17.350000Z,,2019-07-14T17:36:17.150000Z,,,16.3026912764,16.1745151109,16.6674367267,,,,350,-158.930383045
